,index,argpair_id,phenomenon,domain,p1,p2,c1,c2,a1_win_score,prompt1_probs,prompt2_probs,prompt1,prompt2
191,191,3e04ac6dce0976a58c44f52fd2aab81ca95f38a7dc587ae22eb073f83fd3702b,Diversity (Specific),Birds,"['Crows', 'Swans']","['Crows', 'Vultures']",Robins,Robins,0.021457742277984027,"[0.9881630870421912, 0.004446571185142247, 0.005532558014315323, 0, 0.0011038325702617266, 0]","[0.9340947504692753, 0.017258983300766997, 0.03450390406647444, 0.0033401301689948383, 0.009833591995729266, 0]","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Crows have property P.
Fact - Swans have property P.
Claim - Robins have property P.

Argument B:
Fact - Crows have property P.
Fact - Vultures have property P.
Claim - Robins have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Crows have property P.
Fact - Vultures have property P.
Claim - Robins have property P.

Argument B:
Fact - Crows have property P.
Fact - Swans have property P.
Claim - Robins have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:"
192,192,3f765db94e72c02b0ee527cdb0b3515d931e34cc099c84a66de7ab8fc81621c5,Inclusion Fallacy,Birds,['Swallows'],['Swallows'],All birds,Storks,0.128178639460168,"[0.9784114724032766, 0.002546714963312854, 0.012688312307412984, 0.000700618529153963, 0.005138125267479881, 0]","[0.6294066429440981, 0.13909179056759863, 0.13240575098234736, 0.07185085979508718, 0.025591723002262347, 0]","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Swallows have property P.
Claim - All birds have property P.

Argument B:
Fact - Swallows have property P.
Claim - Storks have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Swallows have property P.
Claim - Storks have property P.

Argument B:
Fact - Swallows have property P.
Claim - All birds have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:"
193,193,3f82bac4f7777072080f3f57d76d9ae56311c8386911f81847824effa6d26db2,Similarity,Vehicles,['Carts'],['Submarines'],Carriages,Carriages,0.12132771467074455,"[0.9187785115105033, 0.02525298278849928, 0.04304452645905942, 0.0029313406525641322, 0.009051063629994584, 0]","[0.7665353829704051, 0.03873757189176383, 0.028118529700995404, 0.014064027256611357, 0.14649464559976555, 0]","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Carts have property P.
Claim - Carriages have property P.

Argument B:
Fact - Submarines have property P.
Claim - Carriages have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Submarines have property P.
Claim - Carriages have property P.

Argument B:
Fact - Carts have property P.
Claim - Carriages have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:"
194,194,3f9f6749301bf60d422a21446d60be55b270b3af1fb54ba30660539ba293fe2b,Monotonicity (Specific),Mammals,"['Deer', 'Elephants', 'Zebras']","['Deer', 'Elephants']",Hedgehogs,Hedgehogs,0.7734882294549073,"[0.9986456510594449, 0, 0.0009672602184540633, 0, 0, 0]","[0, 0.023831567776547297, 0.005076744851708245, 0.381550944431469, 0.4170781769726396, 0.16423236404753774]","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Deer have property P.
Fact - Elephants have property P.
Fact - Zebras have property P.
Claim - Hedgehogs have property P.

Argument B:
Fact - Deer have property P.
Fact - Elephants have property P.
Claim - Hedgehogs have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Deer have property P.
Fact - Elephants have property P.
Claim - Hedgehogs have property P.

Argument B:
Fact - Deer have property P.
Fact - Elephants have property P.
Fact - Zebras have property P.
Claim - Hedgehogs have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:"
195,195,3fc5b94aed644562b8c6d223b284e5c1100d7baa80a2731da7fb5da9156f0d89,Monotonicity (Specific),Vehicles,"['Caravans', 'Bicycles', 'Skateboards']","['Caravans', 'Bicycles']",Trucks,Trucks,0.7722321270908732,"[0.9981025904617177, 0, 0.0014346586968152864, 0, 0, 0]","[0, 0.023515906840189626, 0.005519560728665222, 0.39380551827028976, 0.40679162602997565, 0.1647918856960847]","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Caravans have property P.
Fact - Bicycles have property P.
Fact - Skateboards have property P.
Claim - Trucks have property P.

Argument B:
Fact - Caravans have property P.
Fact - Bicycles have property P.
Claim - Trucks have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Caravans have property P.
Fact - Bicycles have property P.
Claim - Trucks have property P.

Argument B:
Fact - Caravans have property P.
Fact - Bicycles have property P.
Fact - Skateboards have property P.
Claim - Trucks have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:"
196,196,4003899285d3c1164a9d4ba434a5d58e87c08f6226424112b796f312716f669d,Asymmetry,Mammals,['Sheep'],['Llamas'],Llamas,Sheep,0.5470978420696864,"[0.9768282652750779, 0.0006307275270573424, 0.0005167920441815099, 0, 0.0035514510944997684, 0.01751600052623294]","[0.4204384851687539, 0.002819583781889459, 0, 0.0031794450817873286, 0.0334806372429861, 0.5357935285779001]","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Sheep have property P.
Claim - Llamas have property P.

Argument B:
Fact - Llamas have property P.
Claim - Sheep have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Llamas have property P.
Claim - Sheep have property P.

Argument B:
Fact - Sheep have property P.
Claim - Llamas have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:"
197,197,4012874f3ec49e0c2e4b9edbac084f1484466eb8e084a495872f3140ff31eccf,Monotonicity (Specific),Mammals,"['Kangaroos', 'Tigers', 'Squirrels']","['Kangaroos', 'Tigers']",Zebras,Zebras,0.8835975211468644,"[0.9988937845079621, 0, 0.0007345239174357285, 0, 0, 0]","[0, 0.0019365012761722539, 0, 0.03011891497818288, 0.5918644381096005, 0.36876718464015]","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Kangaroos have property P.
Fact - Tigers have property P.
Fact - Squirrels have property P.
Claim - Zebras have property P.

Argument B:
Fact - Kangaroos have property P.
Fact - Tigers have property P.
Claim - Zebras have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Kangaroos have property P.
Fact - Tigers have property P.
Claim - Zebras have property P.

Argument B:
Fact - Kangaroos have property P.
Fact - Tigers have property P.
Fact - Squirrels have property P.
Claim - Zebras have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:"
198,198,4060f26a50d3544dd6107a433187f5472f43715c846b9343dddcbe0fdbc9adec,Inclusion Fallacy,Mammals,['Lions'],['Lions'],All mammals,Camels,0.6281505138979087,"[0.9969879760733433, 0.0003241114888410418, 0.0022272157860579443, 0, 0.0001740637406945367, 0]","[0.108793836062772, 0.09379849198670429, 0, 0.32963269166124015, 0.3180445537130535, 0.11049168607447041]","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Lions have property P.
Claim - All mammals have property P.

Argument B:
Fact - Lions have property P.
Claim - Camels have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Lions have property P.
Claim - Camels have property P.

Argument B:
Fact - Lions have property P.
Claim - All mammals have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:"
199,199,406dd8b728d144fab03a247c62fb104d9677fe060d8880dbf838002dc16b606a,Typicality,Mammals,['Cows'],['Camels'],All mammals,All mammals,0.020015952663341274,"[0.9580819326322337, 0.005370505182138509, 0.022286251841185174, 0.0014877811946348723, 0.01222546753720929, 0]","[0.9212499645121524, 0.006625379670481568, 0.04059891243696936, 0.004534302549844084, 0.025961801352811235, 0]","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Cows have property P.
Claim - All mammals have property P.

Argument B:
Fact - Camels have property P.
Claim - All mammals have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Camels have property P.
Claim - All mammals have property P.

Argument B:
Fact - Cows have property P.
Claim - All mammals have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:"
200,200,40890ae61f036a9f45bed65403666a7b86751cce92ebda3e93a1df746475d0d3,Diversity (General),Birds,"['Magpies', 'Swans']","['Magpies', 'Swallows']",All birds,All birds,0.0014161186291587469,"[0.9784610634670701, 0.002921069682970214, 0.006711883278108171, 0, 0.0109668521132401, 0.00024133585630471688]","[0.9711013181543885, 0.007052246926199778, 0.010433145223115664, 0.0003967185384002812, 0.010266100759683235, 0]","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Magpies have property P.
Fact - Swans have property P.
Claim - All birds have property P.

Argument B:
Fact - Magpies have property P.
Fact - Swallows have property P.
Claim - All birds have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Magpies have property P.
Fact - Swallows have property P.
Claim - All birds have property P.

Argument B:
Fact - Magpies have property P.
Fact - Swans have property P.
Claim - All birds have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:"
201,201,40b8c17a9c9135ddc2453ea950f9cf0e92828d5a6adcf7f832bc3930d152fda6,Diversity (General),Mammals,"['Cats', 'Llamas']","['Cats', 'Rabbits']",All mammals,All mammals,-0.013105894755549574,"[0.9345067397191562, 0.022594268749939524, 0.017524787003521863, 0.0005110802168212137, 0.023551753563422234, 0]","[0.9516068644421115, 0.02428880826390001, 0.013560671188742277, 0.0003680913562224285, 0.009530176890983386, 0]","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Cats have property P.
Fact - Llamas have property P.
Claim - All mammals have property P.

Argument B:
Fact - Cats have property P.
Fact - Rabbits have property P.
Claim - All mammals have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Cats have property P.
Fact - Rabbits have property P.
Claim - All mammals have property P.

Argument B:
Fact - Cats have property P.
Fact - Llamas have property P.
Claim - All mammals have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:"
202,202,40bc68fcfeac441310843b43bfc61033b8a08fd5e6c78b853b638d1e7be91db8,Diversity (Specific),Mammals,"['Llamas', 'Hedgehogs']","['Llamas', 'Zebras']",Pigs,Pigs,-0.005620073203672193,"[0.8368932127210776, 0.030068174264617782, 0.023920649434416973, 0, 0.07385131971164224, 0.02812123764579106]","[0.8708907330492542, 0.012818562029068748, 0.008182858823493922, 0, 0.057460874859924946, 0.045118090191689754]","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Llamas have property P.
Fact - Hedgehogs have property P.
Claim - Pigs have property P.

Argument B:
Fact - Llamas have property P.
Fact - Zebras have property P.
Claim - Pigs have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Llamas have property P.
Fact - Zebras have property P.
Claim - Pigs have property P.

Argument B:
Fact - Llamas have property P.
Fact - Hedgehogs have property P.
Claim - Pigs have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:"
203,203,41c492479022559dd6be916fd2d8ca5ca50786e88cc1461af3535ed1cc35ffbe,Typicality,Birds,['Crows'],['Roosters'],All birds,All birds,-0.0023657550403859973,"[0.9628203885391702, 0.005089414930084303, 0.012577736152310856, 0.0007918454690682783, 0.017770267206221765, 0]","[0.9698483858003019, 0.0022126928965526867, 0.009519385315148038, 0.0007048776614980792, 0.01688737968874172, 0]","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Crows have property P.
Claim - All birds have property P.

Argument B:
Fact - Roosters have property P.
Claim - All birds have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Roosters have property P.
Claim - All birds have property P.

Argument B:
Fact - Crows have property P.
Claim - All birds have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:"
204,204,41fa9f463b01cfb85328d3f8764a8b1ef9c9fb1e6de9b489ab43c56082a769cf,Diversity (General),Mammals,"['Lions', 'Squirrels']","['Lions', 'Zebras']",All mammals,All mammals,-0.04322673437268171,"[0.892377146306801, 0.030799220431146208, 0.01940348674380644, 0, 0.0537013144560822, 0.001390115141025561]","[0.9533800915106231, 0.02584090700166811, 0.011476417514378721, 0.0003330083477432454, 0.008157797994812902, 0]","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Lions have property P.
Fact - Squirrels have property P.
Claim - All mammals have property P.

Argument B:
Fact - Lions have property P.
Fact - Zebras have property P.
Claim - All mammals have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Lions have property P.
Fact - Zebras have property P.
Claim - All mammals have property P.

Argument B:
Fact - Lions have property P.
Fact - Squirrels have property P.
Claim - All mammals have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:"
205,205,41fbd42eb82584be098445276226e1f97a2306ecfc5e7204e8eef7ec65d11fb8,Specificity,Birds,"['Roosters', 'Peacocks']","['Roosters', 'Peacocks']",All birds,All animals,0.568274976161961,"[0.9951820001766555, 0.0005907282264770723, 0.003453821430252057, 0, 0.00029015972811719735, 0]","[0.2302350351220425, 0, 0.06700706616519934, 0.25080643817465587, 0.2307564623825008, 0.15731179305283713]","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Roosters have property P.
Fact - Peacocks have property P.
Claim - All birds have property P.

Argument B:
Fact - Roosters have property P.
Fact - Peacocks have property P.
Claim - All animals have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Roosters have property P.
Fact - Peacocks have property P.
Claim - All animals have property P.

Argument B:
Fact - Roosters have property P.
Fact - Peacocks have property P.
Claim - All birds have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:"
206,206,42113a418edb0fe59f69e0ae000eae60b56e4ae29d9481e436e0063e4149e44c,Monotonicity (Specific),Vehicles,"['Tractors', 'Caravans', 'Zeppelins']","['Tractors', 'Caravans']",Motorbikes,Motorbikes,0.8012456691294358,"[0.998197779054015, 8.117071731797844e-05, 0.001262705547709436, 0, 0, 0]","[0, 0.03410628161752246, 0.008567639687505124, 0.3111697486846019, 0.3142227970300539, 0.31908769755936994]","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Tractors have property P.
Fact - Caravans have property P.
Fact - Zeppelins have property P.
Claim - Motorbikes have property P.

Argument B:
Fact - Tractors have property P.
Fact - Caravans have property P.
Claim - Motorbikes have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Tractors have property P.
Fact - Caravans have property P.
Claim - Motorbikes have property P.

Argument B:
Fact - Tractors have property P.
Fact - Caravans have property P.
Fact - Zeppelins have property P.
Claim - Motorbikes have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:"
207,207,421cd324b2bfe76936b6a72c529819d55659cddb1cb2f7b34d9d85d9f169a83d,Diversity (Specific),Birds,"['Eagles', 'Ducks']","['Eagles', 'Owls']",Seagulls,Seagulls,0.012978274252769595,"[0.9582466822773446, 0.0052971570923847884, 0.010142081761171182, 0.00313568069774162, 0.021568026836049015, 0]","[0.9411591830448272, 0.006274358689899354, 0.011756507052216394, 0.0023312725539554216, 0.03719259859495166, 0]","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Eagles have property P.
Fact - Ducks have property P.
Claim - Seagulls have property P.

Argument B:
Fact - Eagles have property P.
Fact - Owls have property P.
Claim - Seagulls have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Eagles have property P.
Fact - Owls have property P.
Claim - Seagulls have property P.

Argument B:
Fact - Eagles have property P.
Fact - Ducks have property P.
Claim - Seagulls have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:"
208,208,42266e3c263f9abf2bc8a5e0c8469933a9a48c3eb68a119d42727ac17c7869bd,Similarity,Mammals,['Tigers'],['Rabbits'],Lions,Lions,0.22699748549438248,"[0.9934649046266152, 0.0003582817033951753, 0.0005220110508995875, 0, 0.0038340407723479884, 0.0011287369666620848]","[0.7018251360017458, 0.02245098029602452, 0.02374761914625438, 0, 0.15310535496801017, 0.08721050370402285]","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Tigers have property P.
Claim - Lions have property P.

Argument B:
Fact - Rabbits have property P.
Claim - Lions have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:","We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Rabbits have property P.
Claim - Lions have property P.

Argument B:
Fact - Tigers have property P.
Claim - Lions have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:"
