,prompt_type,valid_prompt_completions,argpair_id,p1,p2,c1,c2,domain,prompt,is_flipped
10,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Trucks', 'Airplanes', 'Ropes', 'Trucks']",['Airplanes'],"['Airplanes', 'Ropes']",Trucks,Trucks,Vehicles,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Airplanes have property P.
Claim - Trucks have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Ropes have property P.
Claim - Trucks have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",False
11,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Trucks', 'Airplanes', 'Ropes', 'Trucks']","['Airplanes', 'Ropes']",['Airplanes'],Trucks,Trucks,Vehicles,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Airplanes have property P.
Fact - Ropes have property P.
Claim - Trucks have property P.

Argument B:
Fact - Airplanes have property P.
Claim - Trucks have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",True
12,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Vans', 'Carriages', 'Helicopters', 'Airplanes', 'Vans', 'Helicopters']","['Airplanes', 'Vans', 'Carriages']","['Airplanes', 'Vans']",Helicopters,Helicopters,Vehicles,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Airplanes have property P.
Fact - Vans have property P.
Fact - Carriages have property P.
Claim - Helicopters have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Vans have property P.
Claim - Helicopters have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",False
13,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Vans', 'Carriages', 'Helicopters', 'Airplanes', 'Vans', 'Helicopters']","['Airplanes', 'Vans']","['Airplanes', 'Vans', 'Carriages']",Helicopters,Helicopters,Vehicles,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Airplanes have property P.
Fact - Vans have property P.
Claim - Helicopters have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Vans have property P.
Fact - Carriages have property P.
Claim - Helicopters have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",True
14,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Bats', 'Elephants', 'Bats', 'Pythons', 'Elephants']",['Bats'],"['Bats', 'Pythons']",Elephants,Elephants,Mammals,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Bats have property P.
Claim - Elephants have property P.

Argument B:
Fact - Bats have property P.
Fact - Pythons have property P.
Claim - Elephants have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",False
15,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Bats', 'Elephants', 'Bats', 'Pythons', 'Elephants']","['Bats', 'Pythons']",['Bats'],Elephants,Elephants,Mammals,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Bats have property P.
Fact - Pythons have property P.
Claim - Elephants have property P.

Argument B:
Fact - Bats have property P.
Claim - Elephants have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",True
16,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Bats', 'Mice', 'Bats', 'Toads', 'Mice']",['Bats'],"['Bats', 'Toads']",Mice,Mice,Mammals,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Bats have property P.
Claim - Mice have property P.

Argument B:
Fact - Bats have property P.
Fact - Toads have property P.
Claim - Mice have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",False
17,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Bats', 'Mice', 'Bats', 'Toads', 'Mice']","['Bats', 'Toads']",['Bats'],Mice,Mice,Mammals,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Bats have property P.
Fact - Toads have property P.
Claim - Mice have property P.

Argument B:
Fact - Bats have property P.
Claim - Mice have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",True
18,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Bats', 'Rhinos', 'Bats', 'Chameleons', 'Rhinos']",['Bats'],"['Bats', 'Chameleons']",Rhinos,Rhinos,Mammals,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Bats have property P.
Claim - Rhinos have property P.

Argument B:
Fact - Bats have property P.
Fact - Chameleons have property P.
Claim - Rhinos have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",False
19,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Bats', 'Rhinos', 'Bats', 'Chameleons', 'Rhinos']","['Bats', 'Chameleons']",['Bats'],Rhinos,Rhinos,Mammals,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Bats have property P.
Fact - Chameleons have property P.
Claim - Rhinos have property P.

Argument B:
Fact - Bats have property P.
Claim - Rhinos have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",True
20,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Bats', 'Squirrels', 'All mammals', 'Bats', 'Squirrels', 'All animals']","['Bats', 'Squirrels']","['Bats', 'Squirrels']",All mammals,All animals,Mammals,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Bats have property P.
Fact - Squirrels have property P.
Claim - All mammals have property P.

Argument B:
Fact - Bats have property P.
Fact - Squirrels have property P.
Claim - All animals have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",False
21,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Bats', 'Squirrels', 'All mammals', 'Bats', 'Squirrels', 'All animals']","['Bats', 'Squirrels']","['Bats', 'Squirrels']",All animals,All mammals,Mammals,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Bats have property P.
Fact - Squirrels have property P.
Claim - All animals have property P.

Argument B:
Fact - Bats have property P.
Fact - Squirrels have property P.
Claim - All mammals have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",True
22,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Bats', 'Tigers', 'Bats', 'Toads', 'Tigers']",['Bats'],"['Bats', 'Toads']",Tigers,Tigers,Mammals,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Bats have property P.
Claim - Tigers have property P.

Argument B:
Fact - Bats have property P.
Fact - Toads have property P.
Claim - Tigers have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",False
23,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Bats', 'Tigers', 'Bats', 'Toads', 'Tigers']","['Bats', 'Toads']",['Bats'],Tigers,Tigers,Mammals,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Bats have property P.
Fact - Toads have property P.
Claim - Tigers have property P.

Argument B:
Fact - Bats have property P.
Claim - Tigers have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",True
24,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Beavers', 'Bats', 'Donkeys', 'Beavers', 'Hamsters', 'Donkeys']","['Beavers', 'Bats']","['Beavers', 'Hamsters']",Donkeys,Donkeys,Mammals,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Beavers have property P.
Fact - Bats have property P.
Claim - Donkeys have property P.

Argument B:
Fact - Beavers have property P.
Fact - Hamsters have property P.
Claim - Donkeys have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",False
25,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Beavers', 'Bats', 'Donkeys', 'Beavers', 'Hamsters', 'Donkeys']","['Beavers', 'Hamsters']","['Beavers', 'Bats']",Donkeys,Donkeys,Mammals,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Beavers have property P.
Fact - Hamsters have property P.
Claim - Donkeys have property P.

Argument B:
Fact - Beavers have property P.
Fact - Bats have property P.
Claim - Donkeys have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",True
26,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Beavers', 'Camels', 'Beavers', 'Vipers', 'Camels']",['Beavers'],"['Beavers', 'Vipers']",Camels,Camels,Mammals,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Beavers have property P.
Claim - Camels have property P.

Argument B:
Fact - Beavers have property P.
Fact - Vipers have property P.
Claim - Camels have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",False
27,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Beavers', 'Camels', 'Beavers', 'Vipers', 'Camels']","['Beavers', 'Vipers']",['Beavers'],Camels,Camels,Mammals,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Beavers have property P.
Fact - Vipers have property P.
Claim - Camels have property P.

Argument B:
Fact - Beavers have property P.
Claim - Camels have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",True
28,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Beavers', 'Giraffes', 'Beavers', 'Lizards', 'Giraffes']",['Beavers'],"['Beavers', 'Lizards']",Giraffes,Giraffes,Mammals,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Beavers have property P.
Claim - Giraffes have property P.

Argument B:
Fact - Beavers have property P.
Fact - Lizards have property P.
Claim - Giraffes have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",False
29,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Beavers', 'Giraffes', 'Beavers', 'Lizards', 'Giraffes']","['Beavers', 'Lizards']",['Beavers'],Giraffes,Giraffes,Mammals,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Beavers have property P.
Fact - Lizards have property P.
Claim - Giraffes have property P.

Argument B:
Fact - Beavers have property P.
Claim - Giraffes have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",True
30,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Beavers', 'Lions', 'Beavers', 'Toads', 'Lions']",['Beavers'],"['Beavers', 'Toads']",Lions,Lions,Mammals,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Beavers have property P.
Claim - Lions have property P.

Argument B:
Fact - Beavers have property P.
Fact - Toads have property P.
Claim - Lions have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",False
31,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Beavers', 'Lions', 'Beavers', 'Toads', 'Lions']","['Beavers', 'Toads']",['Beavers'],Lions,Lions,Mammals,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Beavers have property P.
Fact - Toads have property P.
Claim - Lions have property P.

Argument B:
Fact - Beavers have property P.
Claim - Lions have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",True
32,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Beavers', 'Mice', 'Beavers', 'Frogs', 'Mice']",['Beavers'],"['Beavers', 'Frogs']",Mice,Mice,Mammals,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Beavers have property P.
Claim - Mice have property P.

Argument B:
Fact - Beavers have property P.
Fact - Frogs have property P.
Claim - Mice have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",False
33,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Beavers', 'Mice', 'Beavers', 'Frogs', 'Mice']","['Beavers', 'Frogs']",['Beavers'],Mice,Mice,Mammals,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Beavers have property P.
Fact - Frogs have property P.
Claim - Mice have property P.

Argument B:
Fact - Beavers have property P.
Claim - Mice have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",True
