,argument,domain,conclusion_type,is_single_premise,prompt_generator,prompt,model,completion_logprobs,strength_rating,strength_ranking
391,"(('Foxes', 'Lions'), 'All mammals')",Mammals,General,False,S3-C1-A1-Q1-O1-T,"You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We're going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include two supporting facts. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Lemons have property P.
Fact - Limes have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 80

Argument A:
Fact - Bananas have property P.
Fact - Watermelons have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 95

Now that you've practiced you're ready to continue on to the main trials for this section.

Argument A:
Fact - Foxes have property P.
Fact - Lions have property P.
Claim - All mammals have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.",text-davinci-003,"{' 90': -0.8407739, ' 80': -1.3452904, ' 85': -1.8284963, ' 70': -2.8686404, ' 95': -3.2906528}",85.39642512320748,60.0
392,"(('Foxes', 'Llamas'), 'Tigers')",Mammals,Specific,False,S3-C1-A1-Q1-O1-T,"You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We're going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include two supporting facts. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Lemons have property P.
Fact - Limes have property P.
Claim - Cherries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 80

Argument A:
Fact - Bananas have property P.
Fact - Watermelons have property P.
Claim - Cherries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 90

Now that you've practiced you're ready to continue on to the main trials for this section.

Argument A:
Fact - Foxes have property P.
Fact - Llamas have property P.
Claim - Tigers have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.",text-davinci-003,"{' 80': -0.57555795, ' 70': -1.7459203, ' 90': -2.519102, ' 85': -2.6743262, ' 75': -2.8847485}",79.07230411464552,105.0
393,"(('Foxes', 'Squirrels'), 'Wolves')",Mammals,Specific,False,S3-C1-A1-Q1-O1-T,"You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We're going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include two supporting facts. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Lemons have property P.
Fact - Limes have property P.
Claim - Cherries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 80

Argument A:
Fact - Bananas have property P.
Fact - Watermelons have property P.
Claim - Cherries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 90

Now that you've practiced you're ready to continue on to the main trials for this section.

Argument A:
Fact - Foxes have property P.
Fact - Squirrels have property P.
Claim - Wolves have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.",text-davinci-003,"{' 95': -0.46743858, ' 90': -1.0752496, ' 80': -3.805579, ' 85': -4.9601965, ' 99': -7.6607356}",92.88682633363344,65.0
394,"(('Foxes', 'Wolves'), 'All mammals')",Mammals,General,False,S3-C1-A1-Q1-O1-T,"You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We're going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include two supporting facts. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Lemons have property P.
Fact - Limes have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 80

Argument A:
Fact - Bananas have property P.
Fact - Watermelons have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 95

Now that you've practiced you're ready to continue on to the main trials for this section.

Argument A:
Fact - Foxes have property P.
Fact - Wolves have property P.
Claim - All mammals have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.",text-davinci-003,"{' 90': -0.7211531, ' 80': -1.3762167, ' 85': -2.1135902, ' 95': -3.0134752, ' 70': -3.1214046}",86.0475804208343,54.0
395,"(('Foxes',), 'All mammals')",Mammals,General,True,S3-C1-A1-Q1-O1-T,"You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We're going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include only one supporting fact. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Papayas have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 50

Argument A:
Fact - Apples have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 75

Now that you've practiced you're ready to continue on to the main trials for this section.

Argument A:
Fact - Foxes have property P.
Claim - All mammals have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.",text-davinci-003,"{' 75': -1.200847, ' 50': -1.4403356, ' 80': -2.1445727, ' 70': -2.5318713, ' 65': -2.839639}",67.031865483334,18.0
396,"(('Foxes',), 'Cows')",Mammals,Specific,True,S3-C1-A1-Q1-O1-T,"You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We're going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include only one supporting fact. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Blackberries have property P.
Claim - Raspberries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 90

Argument A:
Fact - Pineapples have property P.
Claim - Raspberries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 50

Now that you've practiced you're ready to continue on to the main trials for this section.

Argument A:
Fact - Foxes have property P.
Claim - Cows have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.",text-davinci-003,"{' 90': -0.13453232, ' 80': -2.4165814, ' 95': -3.975854, ' 75': -4.7869716, ' 85': -5.2158713}",89.04540998379662,51.0
397,"(('Foxes',), 'Hippos')",Mammals,Specific,True,S3-C1-A1-Q1-O1-T,"You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We're going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include only one supporting fact. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Blackberries have property P.
Claim - Raspberries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 90

Argument A:
Fact - Pineapples have property P.
Claim - Raspberries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 50

Now that you've practiced you're ready to continue on to the main trials for this section.

Argument A:
Fact - Foxes have property P.
Claim - Hippos have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.",text-davinci-003,"{' 70': -0.9921586, ' 50': -1.3520334, ' 40': -1.8709886, ' 60': -2.7849138, ' 75': -2.9029806}",58.737945861513346,164.0
398,"(('Foxes',), 'Tigers')",Mammals,Specific,True,S3-C1-A1-Q1-O1-T,"You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We're going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include only one supporting fact. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Blackberries have property P.
Claim - Raspberries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 90

Argument A:
Fact - Pineapples have property P.
Claim - Raspberries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 50

Now that you've practiced you're ready to continue on to the main trials for this section.

Argument A:
Fact - Foxes have property P.
Claim - Tigers have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.",text-davinci-003,"{' 90': -0.5130782, ' 80': -1.095386, ' 75': -3.584123, ' 85': -4.2038245, ' 95': -4.301122}",86.1918579798307,78.0
399,"(('Foxes',), 'Wolves')",Mammals,Specific,True,S3-C1-A1-Q1-O1-T,"You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We're going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include only one supporting fact. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Blackberries have property P.
Claim - Raspberries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 90

Argument A:
Fact - Pineapples have property P.
Claim - Raspberries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 50

Now that you've practiced you're ready to continue on to the main trials for this section.

Argument A:
Fact - Foxes have property P.
Claim - Wolves have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.",text-davinci-003,"{' 90': -0.073572464, ' 95': -2.7862778, ' 80': -5.308594, '90': -6.496355, ' 85': -6.6872387}",90.25292761966816,25.0
400,"(('Giraffes', 'Dogs'), 'Foxes')",Mammals,Specific,False,S3-C1-A1-Q1-O1-T,"You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We're going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include two supporting facts. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Lemons have property P.
Fact - Limes have property P.
Claim - Cherries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 80

Argument A:
Fact - Bananas have property P.
Fact - Watermelons have property P.
Claim - Cherries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 90

Now that you've practiced you're ready to continue on to the main trials for this section.

Argument A:
Fact - Giraffes have property P.
Fact - Dogs have property P.
Claim - Foxes have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.",text-davinci-003,"{' 90': -0.8348587, ' 95': -1.0497864, ' 80': -1.932515, ' 85': -2.7034674, ' 75': -6.8724995}",89.9516661803477,85.0
401,"(('Giraffes', 'Elephants'), 'Hamsters')",Mammals,Specific,False,S3-C1-A1-Q1-O1-T,"You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We're going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include two supporting facts. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Lemons have property P.
Fact - Limes have property P.
Claim - Cherries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 80

Argument A:
Fact - Bananas have property P.
Fact - Watermelons have property P.
Claim - Cherries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 90

Now that you've practiced you're ready to continue on to the main trials for this section.

Argument A:
Fact - Giraffes have property P.
Fact - Elephants have property P.
Claim - Hamsters have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.",text-davinci-003,"{' 70': -0.2420291, ' 75': -2.423481, ' 80': -2.885652, ' 60': -3.3514173, ' 50': -3.9231565}",70.25940751154367,116.0
402,"(('Giraffes', 'Hippos'), 'All mammals')",Mammals,General,False,S3-C1-A1-Q1-O1-T,"You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We're going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include two supporting facts. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Lemons have property P.
Fact - Limes have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 80

Argument A:
Fact - Bananas have property P.
Fact - Watermelons have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 95

Now that you've practiced you're ready to continue on to the main trials for this section.

Argument A:
Fact - Giraffes have property P.
Fact - Hippos have property P.
Claim - All mammals have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.",text-davinci-003,"{' 80': -1.3326266, ' 90': -1.4101946, ' 70': -1.7364008, ' 85': -2.2018092, ' 75': -2.5254939}",80.95162810362453,75.0
403,"(('Giraffes', 'Tigers'), 'Mice')",Mammals,Specific,False,S3-C1-A1-Q1-O1-T,"You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We're going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include two supporting facts. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Lemons have property P.
Fact - Limes have property P.
Claim - Cherries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 80

Argument A:
Fact - Bananas have property P.
Fact - Watermelons have property P.
Claim - Cherries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 90

Now that you've practiced you're ready to continue on to the main trials for this section.

Argument A:
Fact - Giraffes have property P.
Fact - Tigers have property P.
Claim - Mice have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.",text-davinci-003,"{' 95': -0.32738075, ' 90': -1.4972662, ' 80': -3.643106, ' 100': -4.552526, ' 99': -4.7359915}",93.56220179868156,51.0
404,"(('Giraffes',), 'All mammals')",Mammals,General,True,S3-C1-A1-Q1-O1-T,"You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We're going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include only one supporting fact. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Papayas have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 50

Argument A:
Fact - Apples have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 75

Now that you've practiced you're ready to continue on to the main trials for this section.

Argument A:
Fact - Giraffes have property P.
Claim - All mammals have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.",text-davinci-003,"{' 50': -0.88284147, ' 25': -1.0356277, ' 75': -2.9483016, ' 40': -2.999888, ' 60': -3.8158066}",41.216788313801494,27.0
405,"(('Giraffes',), 'Cats')",Mammals,Specific,True,S3-C1-A1-Q1-O1-T,"You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We're going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include only one supporting fact. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Blackberries have property P.
Claim - Raspberries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 90

Argument A:
Fact - Pineapples have property P.
Claim - Raspberries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 50

Now that you've practiced you're ready to continue on to the main trials for this section.

Argument A:
Fact - Giraffes have property P.
Claim - Cats have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.",text-davinci-003,"{' 75': -0.9987065, ' 70': -1.182987, ' 80': -1.2785146, ' 50': -3.9143617, ' 60': -4.65015}",74.20442939621012,136.0
406,"(('Giraffes',), 'Elephants')",Mammals,Specific,True,S3-C1-A1-Q1-O1-T,"You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We're going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include only one supporting fact. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Blackberries have property P.
Claim - Raspberries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 90

Argument A:
Fact - Pineapples have property P.
Claim - Raspberries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 50

Now that you've practiced you're ready to continue on to the main trials for this section.

Argument A:
Fact - Giraffes have property P.
Claim - Elephants have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.",text-davinci-003,"{' 90': -0.11285975, ' 95': -2.6421146, ' 80': -3.6571178, ' 85': -5.4786506, '90': -6.413809}",90.07741134882414,30.0
407,"(('Giraffes',), 'Foxes')",Mammals,Specific,True,S3-C1-A1-Q1-O1-T,"You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We're going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include only one supporting fact. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Blackberries have property P.
Claim - Raspberries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 90

Argument A:
Fact - Pineapples have property P.
Claim - Raspberries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 50

Now that you've practiced you're ready to continue on to the main trials for this section.

Argument A:
Fact - Giraffes have property P.
Claim - Foxes have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.",text-davinci-003,"{' 70': -0.5561721, ' 75': -1.6321512, ' 50': -2.4662652, ' 80': -2.6254165, ' 60': -3.2122598}",69.58711850392426,157.0
408,"(('Giraffes',), 'Hamsters')",Mammals,Specific,True,S3-C1-A1-Q1-O1-T,"You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.

We're going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include only one supporting fact. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Blackberries have property P.
Claim - Raspberries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 90

Argument A:
Fact - Pineapples have property P.
Claim - Raspberries have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.



Answer: 50

Now that you've practiced you're ready to continue on to the main trials for this section.

Argument A:
Fact - Giraffes have property P.
Claim - Hamsters have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.",text-davinci-003,"{' 70': -0.7836359, ' 50': -1.8389969, ' 75': -2.0258157, ' 80': -2.3603208, ' 40': -2.7517014}",66.14625122464119,160.0
