,argument_id,response
105,"(('Camels', 'Wolves'), 'Dogs')",75
106,"(('Camels', 'Wolves'), 'Llamas')",50
107,"(('Camels',), 'All mammals')",30
108,"(('Camels',), 'Cats')",40
109,"(('Camels',), 'Dogs')",50
110,"(('Camels',), 'Donkeys')",60
111,"(('Camels',), 'Elephants')",60
112,"(('Camels',), 'Hedgehogs')",40
113,"(('Camels',), 'Llamas')",70
114,"(('Camels',), 'Mice')",50
115,"(('Camels',), 'Tigers')",50
116,"(('Canaries', 'Blackbirds'), 'All birds')",40
117,"(('Canaries', 'Blackbirds'), 'Ostriches')",50
118,"(('Canaries', 'Chickens'), 'Storks')",60
119,"(('Canaries', 'Robins'), 'All birds')",40
120,"(('Canaries', 'Robins'), 'Falcons')",60
121,"(('Canaries', 'Seagulls'), 'Storks')",60
122,"(('Canaries', 'Sparrows'), 'Pelicans')",60
123,"(('Canaries',), 'All birds')",30
124,"(('Canaries',), 'Eagles')",60
125,"(('Canaries',), 'Falcons')",60
126,"(('Canaries',), 'Ostriches')",60
127,"(('Canaries',), 'Pelicans')",40
128,"(('Canaries',), 'Storks')",40
129,"(('Canaries',), 'Swans')",60
130,"(('Caravans', 'Boats'), 'Skateboards')",40
131,"(('Caravans', 'Sleds'), 'All vehicles')",40
132,"(('Caravans',), 'All vehicles')",30
133,"(('Caravans',), 'Jeeps')",60
134,"(('Caravans',), 'Skateboards')",40
135,"(('Carriages', 'Boats'), 'All vehicles')",40
136,"(('Carriages', 'Buses'), 'All vehicles')",40
137,"(('Carriages', 'Cars'), 'All vehicles')",40
138,"(('Carriages', 'Hovercraft'), 'All vehicles')",40
139,"(('Carriages', 'Hovercraft'), 'Boats')",60
140,"(('Carriages', 'Mopeds'), 'Motorbikes')",70
141,"(('Carriages', 'Motorbikes'), 'Rockets')",50
142,"(('Carriages', 'Rockets'), 'Bicycles')",50
143,"(('Carriages', 'Skateboards'), 'All vehicles')",40
144,"(('Carriages', 'Sleds'), 'Tractors')",50
145,"(('Carriages', 'Zeppelins'), 'All vehicles')",40
146,"(('Carriages', 'Zeppelins'), 'Caravans')",50
147,"(('Carriages',), 'Airplanes')",40
148,"(('Carriages',), 'All vehicles')",30
149,"(('Carriages',), 'Bicycles')",60
150,"(('Carriages',), 'Boats')",40
151,"(('Carriages',), 'Caravans')",70
152,"(('Carriages',), 'Carts')",80
153,"(('Carriages',), 'Jeeps')",60
154,"(('Carriages',), 'Motorbikes')",40
155,"(('Carriages',), 'Rockets')",40
156,"(('Carriages',), 'Submarines')",40
157,"(('Carriages',), 'Tractors')",50
158,"(('Cars', 'Airplanes'), 'All vehicles')",40
159,"(('Cars', 'Bicycles'), 'Carriages')",75
160,"(('Cars', 'Boats'), 'All vehicles')",40
161,"(('Cars', 'Buses'), 'All vehicles')",40
162,"(('Cars', 'Caravans'), 'Jeeps')",80
163,"(('Cars', 'Helicopters'), 'All vehicles')",40
164,"(('Cars', 'Motorbikes'), 'Jeeps')",80
165,"(('Cars', 'Rockets'), 'All vehicles')",40
166,"(('Cars', 'Taxis'), 'All vehicles')",40
167,"(('Cars', 'Zeppelins'), 'All vehicles')",40
168,"(('Cars',), 'All vehicles')",50
169,"(('Cars',), 'Caravans')",80
170,"(('Cars',), 'Carriages')",70
171,"(('Cars',), 'Jeeps')",90
172,"(('Cars',), 'Motorbikes')",80
173,"(('Cars',), 'Sleds')",40
174,"(('Cars',), 'Taxis')",90
175,"(('Cars',), 'Zeppelins')",60
176,"(('Carts', 'Airplanes'), 'Helicopters')",70
177,"(('Carts', 'Cars'), 'Caravans')",70
178,"(('Carts', 'Mopeds'), 'Jeeps')",60
179,"(('Carts', 'Motorbikes'), 'Carriages')",70
180,"(('Carts', 'Skateboards'), 'All vehicles')",40
181,"(('Carts', 'Sleds'), 'All vehicles')",40
182,"(('Carts', 'Submarines'), 'Sleds')",50
183,"(('Carts', 'Vans'), 'Carriages')",70
184,"(('Carts', 'Zeppelins'), 'Sleds')",50
185,"(('Carts',), 'All vehicles')",35
186,"(('Carts',), 'Caravans')",70
187,"(('Carts',), 'Carriages')",80
188,"(('Carts',), 'Helicopters')",40
189,"(('Carts',), 'Jeeps')",60
190,"(('Carts',), 'Sleds')",70
191,"(('Cats', 'Cows'), 'All mammals')",40
192,"(('Cats', 'Donkeys'), 'All mammals')",40
193,"(('Cats', 'Foxes'), 'Cows')",50
194,"(('Cats', 'Hippos'), 'Cows')",50
195,"(('Cats', 'Sheep'), 'Llamas')",60
196,"(('Cats', 'Squirrels'), 'All mammals')",40
197,"(('Cats',), 'All mammals')",30
198,"(('Cats',), 'Cows')",50
199,"(('Cats',), 'Felines')",90
200,"(('Cats',), 'Lions')",80
201,"(('Cats',), 'Llamas')",40
202,"(('Cats',), 'Rabbits')",60
203,"(('Cats',), 'Squirrels')",60
204,"(('Cats',), 'Tigers')",80
205,"(('Chickens', 'Ducks'), 'All birds')",40
206,"(('Chickens', 'Eagles'), 'All birds')",40
207,"(('Chickens', 'Herons'), 'All birds')",40
208,"(('Chickens', 'Magpies'), 'All birds')",40
209,"(('Chickens', 'Ostriches'), 'Pelicans')",60
210,"(('Chickens', 'Parrots'), 'Turkeys')",70
211,"(('Chickens', 'Sparrows'), 'Canaries')",75
212,"(('Chickens', 'Sparrows'), 'Robins')",75
213,"(('Chickens',), 'All birds')",40
214,"(('Chickens',), 'Blackbirds')",70
215,"(('Chickens',), 'Canaries')",70
216,"(('Chickens',), 'Pelicans')",60
217,"(('Chickens',), 'Robins')",70
218,"(('Chickens',), 'Roosters')",90
219,"(('Chickens',), 'Storks')",60
220,"(('Chickens',), 'Turkeys')",80
221,"(('Chickens',), 'Woodpeckers')",60
222,"(('Chimps', 'Rhinos'), 'Horses')",50
223,"(('Chimps', 'Squirrels'), 'Horses')",50
224,"(('Chimps',), 'Horses')",40
225,"(('Cows', 'Beavers'), 'Donkeys')",50
226,"(('Cows', 'Chimps'), 'Horses')",60
227,"(('Cows', 'Dolphins'), 'Horses')",50
228,"(('Cows', 'Elephants'), 'All mammals')",40
229,"(('Cows', 'Giraffes'), 'All mammals')",40
230,"(('Cows', 'Giraffes'), 'Llamas')",60
231,"(('Cows', 'Mice'), 'Horses')",60
232,"(('Cows', 'Rhinos'), 'Horses')",60
233,"(('Cows', 'Sheep'), 'Mice')",40
234,"(('Cows', 'Squirrels'), 'All mammals')",40
235,"(('Cows', 'Squirrels'), 'Horses')",60
236,"(('Cows',), 'All mammals')",35
237,"(('Cows',), 'Cats')",50
238,"(('Cows',), 'Donkeys')",60
239,"(('Cows',), 'Hippos')",60
240,"(('Cows',), 'Horses')",70
241,"(('Cows',), 'Llamas')",60
242,"(('Cows',), 'Mice')",60
243,"(('Cows',), 'Rhinos')",40
244,"(('Crows', 'Chickens'), 'All birds')",40
245,"(('Crows', 'Chickens'), 'Woodpeckers')",60
246,"(('Crows', 'Eagles'), 'Robins')",60
247,"(('Crows', 'Roosters'), 'All birds')",40
248,"(('Crows', 'Sparrows'), 'All birds')",40
249,"(('Crows',), 'All birds')",30
250,"(('Crows',), 'Peacocks')",60
251,"(('Crows',), 'Pelicans')",60
252,"(('Crows',), 'Ravens')",80
253,"(('Crows',), 'Robins')",70
254,"(('Crows',), 'Swans')",60
255,"(('Crows',), 'Woodpeckers')",60
256,"(('Deer', 'Cats'), 'All mammals')",40
257,"(('Deer', 'Horses'), 'Donkeys')",70
258,"(('Deer', 'Rabbits'), 'Foxes')",60
259,"(('Deer', 'Rabbits'), 'Rhinos')",40
260,"(('Deer', 'Rhinos'), 'All mammals')",40
261,"(('Deer', 'Squirrels'), 'All mammals')",40
262,"(('Deer', 'Wolves'), 'Hedgehogs')",40
263,"(('Deer', 'Zebras'), 'Lions')",50
264,"(('Deer',), 'All mammals')",35
265,"(('Deer',), 'Donkeys')",60
266,"(('Deer',), 'Foxes')",60
267,"(('Deer',), 'Hedgehogs')",40
268,"(('Deer',), 'Hippos')",40
269,"(('Deer',), 'Lions')",60
270,"(('Deer',), 'Rhinos')",60
271,"(('Deer',), 'Squirrels')",60
272,"(('Deer',), 'Zebras')",60
273,"(('Dogs', 'Cows'), 'Cats')",60
274,"(('Dogs', 'Foxes'), 'All mammals')",40
275,"(('Dogs', 'Hamsters'), 'All mammals')",40
276,"(('Dogs', 'Hedgehogs'), 'All mammals')",40
277,"(('Dogs', 'Horses'), 'All mammals')",40
278,"(('Dogs', 'Wolves'), 'All mammals')",40
279,"(('Dogs',), 'All mammals')",30
280,"(('Dogs',), 'Canines')",90
281,"(('Dogs',), 'Cats')",70
282,"(('Dogs',), 'Foxes')",80
283,"(('Dogs',), 'Rabbits')",60
284,"(('Dolphins', 'Elephants'), 'Horses')",50
285,"(('Dolphins', 'Rhinos'), 'Horses')",50
286,"(('Dolphins', 'Seals'), 'Horses')",40
287,"(('Dolphins',), 'Horses')",40
288,"(('Donkeys', 'Beavers'), 'All mammals')",40
289,"(('Donkeys', 'Giraffes'), 'All mammals')",40
290,"(('Donkeys', 'Hamsters'), 'All mammals')",40
291,"(('Donkeys', 'Hamsters'), 'Zebras')",50
292,"(('Donkeys', 'Horses'), 'All mammals')",35
293,"(('Donkeys', 'Lions'), 'All mammals')",40
294,"(('Donkeys',), 'All mammals')",30
295,"(('Donkeys',), 'Horses')",80
296,"(('Donkeys',), 'Llamas')",60
297,"(('Donkeys',), 'Zebras')",70
298,"(('Doves', 'Herons'), 'All birds')",40
299,"(('Doves', 'Herons'), 'Storks')",70
300,"(('Doves', 'Magpies'), 'All birds')",35
301,"(('Doves', 'Swallows'), 'Peacocks')",60
302,"(('Doves', 'Turkeys'), 'All birds')",35
303,"(('Doves',), 'All birds')",30
304,"(('Doves',), 'Ducks')",70
305,"(('Doves',), 'Peacocks')",70
306,"(('Doves',), 'Robins')",70
307,"(('Doves',), 'Storks')",70
308,"(('Doves',), 'Swallows')",70
309,"(('Ducks', 'Magpies'), 'Turkeys')",60
310,"(('Ducks', 'Ostriches'), 'All birds')",40
311,"(('Ducks', 'Storks'), 'All birds')",40
312,"(('Ducks', 'Storks'), 'Eagles')",60
313,"(('Ducks', 'Storks'), 'Pelicans')",70
314,"(('Ducks', 'Swallows'), 'Chickens')",70
315,"(('Ducks', 'Turkeys'), 'Pelicans')",70
316,"(('Ducks', 'Vultures'), 'Turkeys')",60
317,"(('Ducks',), 'All birds')",30
318,"(('Ducks',), 'Chickens')",70
319,"(('Ducks',), 'Eagles')",60
320,"(('Ducks',), 'Magpies')",70
321,"(('Ducks',), 'Pelicans')",70
322,"(('Ducks',), 'Seagulls')",70
323,"(('Ducks',), 'Sparrows')",60
324,"(('Ducks',), 'Storks')",70
325,"(('Ducks',), 'Turkeys')",70
326,"(('Eagles', 'Blackbirds'), 'Magpies')",75
327,"(('Eagles', 'Ostriches'), 'Blackbirds')",50
328,"(('Eagles', 'Parrots'), 'Falcons')",75
329,"(('Eagles', 'Peacocks'), 'All birds')",40
330,"(('Eagles', 'Pelicans'), 'All birds')",40
331,"(('Eagles', 'Robins'), 'All birds')",40
332,"(('Eagles', 'Storks'), 'All birds')",40
333,"(('Eagles', 'Turkeys'), 'Vultures')",70
334,"(('Eagles', 'Vultures'), 'All birds')",40
335,"(('Eagles', 'Vultures'), 'Canaries')",50
336,"(('Eagles',), 'All birds')",30
337,"(('Eagles',), 'Blackbirds')",60
338,"(('Eagles',), 'Canaries')",60
339,"(('Eagles',), 'Falcons')",80
340,"(('Eagles',), 'Magpies')",60
341,"(('Eagles',), 'Robins')",70
342,"(('Eagles',), 'Turkeys')",60
343,"(('Eagles',), 'Vultures')",70
344,"(('Elephants', 'Camels'), 'All mammals')",40
345,"(('Elephants', 'Donkeys'), 'Horses')",70
346,"(('Elephants', 'Giraffes'), 'All mammals')",35
347,"(('Elephants', 'Hedgehogs'), 'All mammals')",40
348,"(('Elephants', 'Llamas'), 'All mammals')",40
349,"(('Elephants', 'Llamas'), 'Squirrels')",50
350,"(('Elephants', 'Rhinos'), 'All mammals')",35
351,"(('Elephants', 'Rhinos'), 'Horses')",50
352,"(('Elephants', 'Zebras'), 'All mammals')",40
353,"(('Elephants',), 'All mammals')",30
354,"(('Elephants',), 'Hamsters')",40
355,"(('Elephants',), 'Hedgehogs')",40
356,"(('Elephants',), 'Horses')",60
357,"(('Elephants',), 'Mice')",50
358,"(('Elephants',), 'Squirrels')",50
359,"(('Elephants',), 'Wolves')",50
360,"(('Falcons', 'Eagles'), 'All birds')",40
361,"(('Falcons', 'Robins'), 'Sparrows')",75
362,"(('Falcons', 'Sparrows'), 'Robins')",75
363,"(('Falcons', 'Storks'), 'All birds')",40
364,"(('Falcons', 'Swans'), 'All birds')",40
365,"(('Falcons', 'Vultures'), 'All birds')",35
366,"(('Falcons', 'Woodpeckers'), 'Swans')",50
367,"(('Falcons',), 'All birds')",30
368,"(('Falcons',), 'Canaries')",70
369,"(('Falcons',), 'Herons')",60
370,"(('Falcons',), 'Robins')",70
371,"(('Falcons',), 'Sparrows')",70
372,"(('Falcons',), 'Swans')",60
373,"(('Foxes', 'Beavers'), 'All mammals')",40
374,"(('Foxes', 'Deer'), 'Hippos')",40
375,"(('Foxes', 'Donkeys'), 'All mammals')",40
376,"(('Foxes', 'Elephants'), 'All mammals')",40
377,"(('Foxes', 'Hamsters'), 'All mammals')",40
378,"(('Foxes', 'Lions'), 'All mammals')",40
379,"(('Foxes', 'Llamas'), 'Tigers')",50
380,"(('Foxes', 'Squirrels'), 'Wolves')",60
381,"(('Foxes', 'Wolves'), 'All mammals')",35
382,"(('Foxes',), 'All mammals')",30
383,"(('Foxes',), 'Cows')",50
384,"(('Foxes',), 'Hippos')",40
385,"(('Foxes',), 'Tigers')",70
386,"(('Foxes',), 'Wolves')",80
387,"(('Giraffes', 'Dogs'), 'Foxes')",70
388,"(('Giraffes', 'Elephants'), 'Hamsters')",40
389,"(('Giraffes', 'Hippos'), 'All mammals')",40
390,"(('Giraffes', 'Tigers'), 'Mice')",50
391,"(('Giraffes',), 'All mammals')",25
392,"(('Giraffes',), 'Cats')",50
393,"(('Giraffes',), 'Elephants')",60
394,"(('Giraffes',), 'Foxes')",50
395,"(('Giraffes',), 'Hamsters')",40
396,"(('Giraffes',), 'Llamas')",60
397,"(('Giraffes',), 'Mice')",40
398,"(('Gorillas', 'Mice'), 'Horses')",60
399,"(('Gorillas', 'Squirrels'), 'Horses')",50
400,"(('Gorillas',), 'Horses')",40
401,"(('Hamsters', 'Beavers'), 'All mammals')",40
402,"(('Hamsters', 'Camels'), 'Hedgehogs')",50
403,"(('Hamsters', 'Cats'), 'Rabbits')",70
404,"(('Hamsters', 'Deer'), 'All mammals')",40
405,"(('Hamsters', 'Deer'), 'Squirrels')",70
406,"(('Hamsters', 'Donkeys'), 'Llamas')",60
407,"(('Hamsters', 'Elephants'), 'Mice')",60
408,"(('Hamsters', 'Giraffes'), 'Foxes')",50
409,"(('Hamsters', 'Hedgehogs'), 'All mammals')",35
410,"(('Hamsters', 'Llamas'), 'All mammals')",40
411,"(('Hamsters', 'Squirrels'), 'All mammals')",40
412,"(('Hamsters', 'Tigers'), 'Cats')",70
413,"(('Hamsters',), 'All mammals')",30
414,"(('Hamsters',), 'Cats')",60
415,"(('Hamsters',), 'Donkeys')",40
416,"(('Hamsters',), 'Foxes')",60
417,"(('Hamsters',), 'Giraffes')",40
418,"(('Hamsters',), 'Hedgehogs')",60
419,"(('Hamsters',), 'Lions')",60
420,"(('Hamsters',), 'Llamas')",40
421,"(('Hamsters',), 'Mice')",70
422,"(('Hamsters',), 'Rabbits')",70
423,"(('Hamsters',), 'Squirrels')",70
424,"(('Hamsters',), 'Zebras')",40
425,"(('Hawks',), 'Falcons')",80
426,"(('Hedgehogs', 'Beavers'), 'All mammals')",40
427,"(('Hedgehogs', 'Cats'), 'All mammals')",40
428,"(('Hedgehogs', 'Hamsters'), 'Donkeys')",40
429,"(('Hedgehogs', 'Mice'), 'Elephants')",40
430,"(('Hedgehogs', 'Sheep'), 'All mammals')",40
431,"(('Hedgehogs', 'Sheep'), 'Elephants')",50
432,"(('Hedgehogs', 'Wolves'), 'Elephants')",50
433,"(('Hedgehogs',), 'All mammals')",30
434,"(('Hedgehogs',), 'Donkeys')",40
435,"(('Hedgehogs',), 'Elephants')",40
436,"(('Hedgehogs',), 'Rhinos')",40
437,"(('Hedgehogs',), 'Wolves')",50
438,"(('Hedgehogs',), 'Zebras')",40
439,"(('Helicopters', 'Boats'), 'All vehicles')",40
440,"(('Helicopters', 'Buses'), 'Boats')",50
441,"(('Helicopters', 'Carriages'), 'Airplanes')",50
442,"(('Helicopters', 'Cars'), 'Sleds')",50
443,"(('Helicopters', 'Hovercraft'), 'All vehicles')",40
444,"(('Helicopters', 'Hovercraft'), 'Bicycles')",40
445,"(('Helicopters', 'Hovercraft'), 'Rockets')",60
446,"(('Helicopters', 'Rockets'), 'All vehicles')",40
447,"(('Helicopters', 'Rockets'), 'Trams')",40
448,"(('Helicopters', 'Skateboards'), 'Zeppelins')",50
449,"(('Helicopters', 'Submarines'), 'All vehicles')",40
450,"(('Helicopters', 'Trains'), 'All vehicles')",40
451,"(('Helicopters', 'Trucks'), 'Jeeps')",70
452,"(('Helicopters', 'Zeppelins'), 'All vehicles')",35
453,"(('Helicopters',), 'Airplanes')",80
454,"(('Helicopters',), 'All vehicles')",30
455,"(('Helicopters',), 'Bicycles')",50
456,"(('Helicopters',), 'Boats')",50
457,"(('Helicopters',), 'Jeeps')",40
458,"(('Helicopters',), 'Rockets')",70
459,"(('Helicopters',), 'Skateboards')",40
460,"(('Helicopters',), 'Sleds')",40
461,"(('Helicopters',), 'Trams')",40
462,"(('Helicopters',), 'Zeppelins')",60
463,"(('Herons', 'Blackbirds'), 'Doves')",70
464,"(('Herons', 'Eagles'), 'All birds')",40
465,"(('Herons', 'Magpies'), 'Crows')",70
466,"(('Herons', 'Magpies'), 'Storks')",60
467,"(('Herons', 'Peacocks'), 'All birds')",35
468,"(('Herons', 'Pelicans'), 'All birds')",35
469,"(('Herons', 'Storks'), 'All birds')",35
470,"(('Herons', 'Storks'), 'Ostriches')",60
471,"(('Herons', 'Swallows'), 'Sparrows')",70
472,"(('Herons', 'Swans'), 'Doves')",60
473,"(('Herons', 'Vultures'), 'All birds')",40
474,"(('Herons', 'Woodpeckers'), 'All birds')",35
475,"(('Herons', 'Woodpeckers'), 'Doves')",50
476,"(('Herons',), 'All birds')",30
477,"(('Herons',), 'Crows')",60
478,"(('Herons',), 'Doves')",60
479,"(('Herons',), 'Ostriches')",60
480,"(('Herons',), 'Peacocks')",60
481,"(('Herons',), 'Sparrows')",60
482,"(('Herons',), 'Storks')",70
483,"(('Hippos', 'Cats'), 'Tigers')",70
484,"(('Hippos', 'Elephants'), 'All mammals')",35
485,"(('Hippos', 'Giraffes'), 'Mice')",50
486,"(('Hippos', 'Hedgehogs'), 'All mammals')",40
487,"(('Hippos', 'Hedgehogs'), 'Zebras')",50
488,"(('Hippos', 'Horses'), 'Cows')",70
489,"(('Hippos', 'Tigers'), 'Rhinos')",60
490,"(('Hippos', 'Wolves'), 'Dogs')",70
491,"(('Hippos',), 'All mammals')",25
492,"(('Hippos',), 'Beavers')",60
493,"(('Hippos',), 'Cows')",60
494,"(('Hippos',), 'Deer')",60
495,"(('Hippos',), 'Dogs')",40
496,"(('Hippos',), 'Donkeys')",50
497,"(('Hippos',), 'Mice')",40
498,"(('Hippos',), 'Rabbits')",40
499,"(('Hippos',), 'Rhinos')",70
500,"(('Hippos',), 'Tigers')",50
501,"(('Hippos',), 'Zebras')",50
502,"(('Horses', 'Cats'), 'All mammals')",40
503,"(('Horses', 'Cows'), 'All mammals')",40
504,"(('Horses', 'Deer'), 'Zebras')",70
505,"(('Horses', 'Foxes'), 'All mammals')",40
506,"(('Horses', 'Hamsters'), 'All mammals')",40
507,"(('Horses', 'Hippos'), 'Donkeys')",60
508,"(('Horses', 'Lions'), 'Hedgehogs')",50
509,"(('Horses', 'Squirrels'), 'All mammals')",40
510,"(('Horses', 'Tigers'), 'Donkeys')",60
511,"(('Horses', 'Wolves'), 'Foxes')",70
512,"(('Horses',), 'All mammals')",30
513,"(('Horses',), 'Cats')",60
514,"(('Horses',), 'Cows')",70
515,"(('Horses',), 'Donkeys')",80
516,"(('Horses',), 'Foxes')",60
517,"(('Horses',), 'Hedgehogs')",40
518,"(('Horses',), 'Ponies')",85
519,"(('Horses',), 'Tigers')",50
520,"(('Horses',), 'Zebras')",80
521,"(('Hovercraft', 'Airplanes'), 'All vehicles')",40
522,"(('Hovercraft', 'Bicycles'), 'All vehicles')",40
523,"(('Hovercraft', 'Cars'), 'All vehicles')",40
524,"(('Hovercraft', 'Rockets'), 'All vehicles')",40
525,"(('Hovercraft', 'Submarines'), 'All vehicles')",40
526,"(('Hovercraft', 'Submarines'), 'Motorbikes')",40
527,"(('Hovercraft', 'Tractors'), 'All vehicles')",40
528,"(('Hovercraft', 'Tractors'), 'Vans')",50
529,"(('Hovercraft',), 'All vehicles')",30
530,"(('Hovercraft',), 'Bicycles')",50
531,"(('Hovercraft',), 'Boats')",60
532,"(('Hovercraft',), 'Motorbikes')",50
533,"(('Hovercraft',), 'Rockets')",60
534,"(('Hovercraft',), 'Tractors')",50
535,"(('Hovercraft',), 'Vans')",40
536,"(('Jeeps', 'Airplanes'), 'Tractors')",50
537,"(('Jeeps', 'Bicycles'), 'All vehicles')",40
538,"(('Jeeps', 'Helicopters'), 'All vehicles')",40
539,"(('Jeeps', 'Mopeds'), 'Motorbikes')",75
540,"(('Jeeps', 'Sleds'), 'All vehicles')",35
541,"(('Jeeps', 'Trucks'), 'Submarines')",40
542,"(('Jeeps',), 'All vehicles')",30
543,"(('Jeeps',), 'Cars')",80
544,"(('Jeeps',), 'Helicopters')",40
545,"(('Jeeps',), 'Motorbikes')",60
546,"(('Jeeps',), 'Rockets')",30
547,"(('Jeeps',), 'Submarines')",30
548,"(('Jeeps',), 'Tractors')",60
549,"(('Lions', 'Camels'), 'All mammals')",40
550,"(('Lions', 'Cows'), 'Hippos')",50
551,"(('Lions', 'Cows'), 'Rhinos')",50
552,"(('Lions', 'Hamsters'), 'All mammals')",40
553,"(('Lions', 'Hedgehogs'), 'Rhinos')",50
554,"(('Lions', 'Hippos'), 'Rhinos')",70
555,"(('Lions', 'Mice'), 'Dogs')",60
556,"(('Lions', 'Wolves'), 'Hedgehogs')",40
557,"(('Lions', 'Zebras'), 'All mammals')",40
558,"(('Lions',), 'All mammals')",30
559,"(('Lions',), 'Cats')",80
560,"(('Lions',), 'Dogs')",60
