,argument,domain,conclusion_type,is_single_premise,prompt_generator,model,probabilities,strength_rating,strength_ranking
40,"(('Mice',), 'Horses')",Mammals,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9983274793241925, 0.0014586917596404172)",0.996868787564552,7.0
41,"(('Pineapples',), 'Raspberries')",Mammals,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9986191244871934, 0.0012682427475552735)",0.997350881739638,6.0
42,"(('Rhinos',), 'Horses')",Mammals,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9953251111685665, 0.004428262429369333)",0.9908968487391971,8.0
43,"(('Seals', 'Elephants'), 'Horses')",Mammals,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998469827183386, 8.774331270556048e-06)",0.999838208387068,37.0
44,"(('Seals', 'Rhinos'), 'Horses')",Mammals,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998933526372343, 6.599497818056529e-06)",0.9998867531394164,14.0
45,"(('Seals',), 'Horses')",Mammals,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9791224340053192, 0.02072586586632407)",0.9583965681389952,10.0
46,"(('Squirrels', 'Dolphins'), 'Horses')",Mammals,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9999032478307931, 2.718897746624372e-06)",0.9999005289330464,2.0
47,"(('Squirrels', 'Elephants'), 'Horses')",Mammals,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998589018352825, 6.6804447051789496e-06)",0.9998522213905772,32.0
48,"(('Squirrels', 'Rhinos'), 'Horses')",Mammals,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998883482895162, 6.071675265196206e-06)",0.999882276614251,19.0
49,"(('Squirrels', 'Seals'), 'Horses')",Mammals,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998831027730134, 4.302492723879388e-06)",0.9998788002802896,24.0
50,"(('Squirrels',), 'Horses')",Mammals,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9716898488359978, 0.028150459535510534)",0.9435393893004872,11.0
