,conclusion_type,is_single_premise,parent_domain,llm_reasoner,tutorial_prompt
10,General,False,living things,text-davinci-003-openai-completion,"You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.We're going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include two supporting facts. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Lemons have property P.
Fact - Limes have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.


80

Argument A:
Fact - Bananas have property P.
Fact - Watermelons have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.


90

Now that you've practiced you're ready to continue on to the main trials for this section.

"
11,General,False,objects,text-davinci-003-openai-completion,"You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.We're going to show you a series of claims relating to objects and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other objects have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include two supporting facts. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Lemons have property P.
Fact - Limes have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.


80

Argument A:
Fact - Bananas have property P.
Fact - Watermelons have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.


90

Now that you've practiced you're ready to continue on to the main trials for this section.

"
12,General,True,living things,command-cohere-completion,"You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.We're going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include only one supporting fact. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Papayas have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.

100

Argument A:
Fact - Apples have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.

100

Now that you've practiced you're ready to continue on to the main trials for this section.

"
13,General,True,objects,command-cohere-completion,"You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.We're going to show you a series of claims relating to objects and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we'll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we'll provide you with facts about whether or not other objects have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").

This section contains a series of claims that include only one supporting fact. Before we start, we'll give you two examples as practice.

Argument A:
Fact - Papayas have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.

100

Argument A:
Fact - Apples have property P.
Claim - All fruits have property P.

Question: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.

100

Now that you've practiced you're ready to continue on to the main trials for this section.

"
14,General,True,living things,gpt-3.5-turbo-openai-chat,"[{'role': 'system', 'content': ""You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include only one supporting fact. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Papayas have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': ""Answer: 0. Just because papayas have property P doesn't mean that all fruits have property P. There are many different types of fruits with different properties.""}, {'role': 'user', 'content': 'Argument A:\nFact - Apples have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': ""Answer: 0. Just because apples have property P doesn't mean that all fruits have property P. There are many different types of fruits with different properties.""}, {'role': 'user', 'content': ""Now that you've practiced you're ready to continue on to the main trials for this section.\n\n""}]"
15,General,True,objects,gpt-3.5-turbo-openai-chat,"[{'role': 'system', 'content': ""You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to objects and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other objects have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include only one supporting fact. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Papayas have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': 'Answer: 0. The fact that papayas have property P does not necessarily mean that all fruits have property P. There may be other fruits that do not have property P. Therefore, the claim is not supported by the given fact.'}, {'role': 'user', 'content': 'Argument A:\nFact - Apples have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': 'Answer: It is impossible to determine the likelihood of the claim being true based on the given fact alone. The fact that apples have property P does not necessarily mean that all fruits have property P. There may be other fruits that do not have property P. Therefore, the claim is not supported by the given fact.'}, {'role': 'user', 'content': ""Now that you've practiced you're ready to continue on to the main trials for this section.\n\n""}]"
16,General,True,living things,gpt-3.5-turbo-0613-openai-chat,"[{'role': 'system', 'content': ""You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include only one supporting fact. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Papayas have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': 'Given the fact that papayas have property P, it is likely that the claim ""All fruits have property P"" is true. I would rate it around 80 out of 100.'}, {'role': 'user', 'content': 'Argument A:\nFact - Apples have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': 'Given the fact that apples have property P, it is likely that the claim ""All fruits have property P"" is true. I would rate it around 90 out of 100.'}, {'role': 'user', 'content': ""Now that you've practiced you're ready to continue on to the main trials for this section.\n\n""}]"
17,General,True,objects,gpt-3.5-turbo-0613-openai-chat,"[{'role': 'system', 'content': ""You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to objects and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other objects have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include only one supporting fact. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Papayas have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': 'Given the fact that papayas have property P, it is likely that the claim ""All fruits have property P"" is true. I would rate the likelihood as 80 out of 100.'}, {'role': 'user', 'content': 'Argument A:\nFact - Apples have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': 'Given the fact that apples have property P, it is likely that the claim ""All fruits have property P"" is true. I would rate the likelihood as 90 out of 100.'}, {'role': 'user', 'content': ""Now that you've practiced you're ready to continue on to the main trials for this section.\n\n""}]"
18,General,True,living things,gpt-4-openai-chat,"[{'role': 'system', 'content': ""You are an expert on living things and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to living things and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other living things have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include only one supporting fact. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Papayas have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '50'}, {'role': 'user', 'content': 'Argument A:\nFact - Apples have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '40'}, {'role': 'user', 'content': ""Now that you've practiced you're ready to continue on to the main trials for this section.\n\n""}]"
19,General,True,objects,gpt-4-openai-chat,"[{'role': 'system', 'content': ""You are an expert on objects and the types of real world properties that they have. The questions you'll see don't have right or wrong answers, and you are willing to use your best judgment and commit to a concrete, specific response even in cases where you can't be sure that you are correct.""}, {'role': 'user', 'content': 'We\'re going to show you a series of claims relating to objects and the properties they share. Rather than mention any specific property (e.g. ""Hyenas have sesamoid bones"") we\'ll refer to an unspecified property (e.g. ""Hyenas have property P""). Each claim may be true or false, and to help you decide which, we\'ll provide you with facts about whether or not other objects have the same property (e.g. ""Lions have property P"", and ""Zebras have property P"").\n\nThis section contains a series of claims that include only one supporting fact. Before we start, we\'ll give you two examples as practice.\n\nArgument A:\nFact - Papayas have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '50'}, {'role': 'user', 'content': 'Argument A:\nFact - Apples have property P.\nClaim - All fruits have property P.\n\nQuestion: Given the facts presented, how likely is it that the claim is true? Indicate your answer by providing a number between 0 and 100, where 0 means that the claim is very unlikely and 100 means that the claim is very likely.'}, {'role': 'assistant', 'content': '40'}, {'role': 'user', 'content': ""Now that you've practiced you're ready to continue on to the main trials for this section.\n\n""}]"
