,prompt_type,argpair_id,p1,p2,c1,c2,domain,prompt,is_flipped
10,experiment_1_chatprompt,"['Bats', 'Squirrels', 'All mammals', 'Bats', 'Squirrels', 'All animals']","['Bats', 'Squirrels']","['Bats', 'Squirrels']",All mammals,All animals,Mammals,"[{'role': 'system', 'content': ""We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property. Given the facts presented for each argument, we will then ask you which has a more likely claim.""}, {'role': 'user', 'content': 'Argument A:\nFact - Bats have property P.\nFact - Squirrels have property P.\nClaim - All mammals have property P.\n\nArgument B:\nFact - Bats have property P.\nFact - Squirrels have property P.\nClaim - All animals have property P.\n\nQuestion: Given the facts presented, which argument has a more likely claim?\nA - Argument A is much more likely\nB - Argument A is moderately more likely\nC - Argument A is slightly more likely\nD - Argument B is slightly more likely\nE - Argument B is moderately more likely\nF - Argument B is much more likely\nAnswer:'}]",False
11,experiment_1_chatprompt,"['Bats', 'Tigers', 'Bats', 'Toads', 'Tigers']",['Bats'],"['Bats', 'Toads']",Tigers,Tigers,Mammals,"[{'role': 'system', 'content': ""We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property. Given the facts presented for each argument, we will then ask you which has a more likely claim.""}, {'role': 'user', 'content': 'Argument A:\nFact - Bats have property P.\nClaim - Tigers have property P.\n\nArgument B:\nFact - Bats have property P.\nFact - Toads have property P.\nClaim - Tigers have property P.\n\nQuestion: Given the facts presented, which argument has a more likely claim?\nA - Argument A is much more likely\nB - Argument A is moderately more likely\nC - Argument A is slightly more likely\nD - Argument B is slightly more likely\nE - Argument B is moderately more likely\nF - Argument B is much more likely\nAnswer:'}]",False
12,experiment_1_chatprompt,"['Beavers', 'Bats', 'Donkeys', 'Beavers', 'Hamsters', 'Donkeys']","['Beavers', 'Bats']","['Beavers', 'Hamsters']",Donkeys,Donkeys,Mammals,"[{'role': 'system', 'content': ""We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property. Given the facts presented for each argument, we will then ask you which has a more likely claim.""}, {'role': 'user', 'content': 'Argument A:\nFact - Beavers have property P.\nFact - Bats have property P.\nClaim - Donkeys have property P.\n\nArgument B:\nFact - Beavers have property P.\nFact - Hamsters have property P.\nClaim - Donkeys have property P.\n\nQuestion: Given the facts presented, which argument has a more likely claim?\nA - Argument A is much more likely\nB - Argument A is moderately more likely\nC - Argument A is slightly more likely\nD - Argument B is slightly more likely\nE - Argument B is moderately more likely\nF - Argument B is much more likely\nAnswer:'}]",False
13,experiment_1_chatprompt,"['Beavers', 'Camels', 'Beavers', 'Vipers', 'Camels']",['Beavers'],"['Beavers', 'Vipers']",Camels,Camels,Mammals,"[{'role': 'system', 'content': ""We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property. Given the facts presented for each argument, we will then ask you which has a more likely claim.""}, {'role': 'user', 'content': 'Argument A:\nFact - Beavers have property P.\nClaim - Camels have property P.\n\nArgument B:\nFact - Beavers have property P.\nFact - Vipers have property P.\nClaim - Camels have property P.\n\nQuestion: Given the facts presented, which argument has a more likely claim?\nA - Argument A is much more likely\nB - Argument A is moderately more likely\nC - Argument A is slightly more likely\nD - Argument B is slightly more likely\nE - Argument B is moderately more likely\nF - Argument B is much more likely\nAnswer:'}]",False
14,experiment_1_chatprompt,"['Beavers', 'Giraffes', 'Beavers', 'Lizards', 'Giraffes']",['Beavers'],"['Beavers', 'Lizards']",Giraffes,Giraffes,Mammals,"[{'role': 'system', 'content': ""We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property. Given the facts presented for each argument, we will then ask you which has a more likely claim.""}, {'role': 'user', 'content': 'Argument A:\nFact - Beavers have property P.\nClaim - Giraffes have property P.\n\nArgument B:\nFact - Beavers have property P.\nFact - Lizards have property P.\nClaim - Giraffes have property P.\n\nQuestion: Given the facts presented, which argument has a more likely claim?\nA - Argument A is much more likely\nB - Argument A is moderately more likely\nC - Argument A is slightly more likely\nD - Argument B is slightly more likely\nE - Argument B is moderately more likely\nF - Argument B is much more likely\nAnswer:'}]",False
15,experiment_1_chatprompt,"['Beavers', 'Lions', 'Beavers', 'Toads', 'Lions']",['Beavers'],"['Beavers', 'Toads']",Lions,Lions,Mammals,"[{'role': 'system', 'content': ""We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property. Given the facts presented for each argument, we will then ask you which has a more likely claim.""}, {'role': 'user', 'content': 'Argument A:\nFact - Beavers have property P.\nClaim - Lions have property P.\n\nArgument B:\nFact - Beavers have property P.\nFact - Toads have property P.\nClaim - Lions have property P.\n\nQuestion: Given the facts presented, which argument has a more likely claim?\nA - Argument A is much more likely\nB - Argument A is moderately more likely\nC - Argument A is slightly more likely\nD - Argument B is slightly more likely\nE - Argument B is moderately more likely\nF - Argument B is much more likely\nAnswer:'}]",False
16,experiment_1_chatprompt,"['Beavers', 'Mice', 'Beavers', 'Frogs', 'Mice']",['Beavers'],"['Beavers', 'Frogs']",Mice,Mice,Mammals,"[{'role': 'system', 'content': ""We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property. Given the facts presented for each argument, we will then ask you which has a more likely claim.""}, {'role': 'user', 'content': 'Argument A:\nFact - Beavers have property P.\nClaim - Mice have property P.\n\nArgument B:\nFact - Beavers have property P.\nFact - Frogs have property P.\nClaim - Mice have property P.\n\nQuestion: Given the facts presented, which argument has a more likely claim?\nA - Argument A is much more likely\nB - Argument A is moderately more likely\nC - Argument A is slightly more likely\nD - Argument B is slightly more likely\nE - Argument B is moderately more likely\nF - Argument B is much more likely\nAnswer:'}]",False
17,experiment_1_chatprompt,"['Beavers', 'Rhinos', 'All mammals', 'Beavers', 'Rhinos', 'All animals']","['Beavers', 'Rhinos']","['Beavers', 'Rhinos']",All mammals,All animals,Mammals,"[{'role': 'system', 'content': ""We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property. Given the facts presented for each argument, we will then ask you which has a more likely claim.""}, {'role': 'user', 'content': 'Argument A:\nFact - Beavers have property P.\nFact - Rhinos have property P.\nClaim - All mammals have property P.\n\nArgument B:\nFact - Beavers have property P.\nFact - Rhinos have property P.\nClaim - All animals have property P.\n\nQuestion: Given the facts presented, which argument has a more likely claim?\nA - Argument A is much more likely\nB - Argument A is moderately more likely\nC - Argument A is slightly more likely\nD - Argument B is slightly more likely\nE - Argument B is moderately more likely\nF - Argument B is much more likely\nAnswer:'}]",False
18,experiment_1_chatprompt,"['Beavers', 'Zebras', 'Beavers', 'Iguanas', 'Zebras']",['Beavers'],"['Beavers', 'Iguanas']",Zebras,Zebras,Mammals,"[{'role': 'system', 'content': ""We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property. Given the facts presented for each argument, we will then ask you which has a more likely claim.""}, {'role': 'user', 'content': 'Argument A:\nFact - Beavers have property P.\nClaim - Zebras have property P.\n\nArgument B:\nFact - Beavers have property P.\nFact - Iguanas have property P.\nClaim - Zebras have property P.\n\nQuestion: Given the facts presented, which argument has a more likely claim?\nA - Argument A is much more likely\nB - Argument A is moderately more likely\nC - Argument A is slightly more likely\nD - Argument B is slightly more likely\nE - Argument B is moderately more likely\nF - Argument B is much more likely\nAnswer:'}]",False
19,experiment_1_chatprompt,"['Bicycles', 'All vehicles', 'Bicycles', 'Rockets']",['Bicycles'],['Bicycles'],All vehicles,Rockets,Vehicles,"[{'role': 'system', 'content': ""We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property. Given the facts presented for each argument, we will then ask you which has a more likely claim.""}, {'role': 'user', 'content': 'Argument A:\nFact - Bicycles have property P.\nClaim - All vehicles have property P.\n\nArgument B:\nFact - Bicycles have property P.\nClaim - Rockets have property P.\n\nQuestion: Given the facts presented, which argument has a more likely claim?\nA - Argument A is much more likely\nB - Argument A is moderately more likely\nC - Argument A is slightly more likely\nD - Argument B is slightly more likely\nE - Argument B is moderately more likely\nF - Argument B is much more likely\nAnswer:'}]",False
20,experiment_1_chatprompt,"['Bicycles', 'Caravans', 'All vehicles', 'Bicycles', 'Caravans', 'Drills', 'All vehicles']","['Bicycles', 'Caravans']","['Bicycles', 'Caravans', 'Drills']",All vehicles,All vehicles,Vehicles,"[{'role': 'system', 'content': ""We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property. Given the facts presented for each argument, we will then ask you which has a more likely claim.""}, {'role': 'user', 'content': 'Argument A:\nFact - Bicycles have property P.\nFact - Caravans have property P.\nClaim - All vehicles have property P.\n\nArgument B:\nFact - Bicycles have property P.\nFact - Caravans have property P.\nFact - Drills have property P.\nClaim - All vehicles have property P.\n\nQuestion: Given the facts presented, which argument has a more likely claim?\nA - Argument A is much more likely\nB - Argument A is moderately more likely\nC - Argument A is slightly more likely\nD - Argument B is slightly more likely\nE - Argument B is moderately more likely\nF - Argument B is much more likely\nAnswer:'}]",False
21,experiment_1_chatprompt,"['Bicycles', 'Caravans', 'Caravans', 'Bicycles']",['Bicycles'],['Caravans'],Caravans,Bicycles,Vehicles,"[{'role': 'system', 'content': ""We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property. Given the facts presented for each argument, we will then ask you which has a more likely claim.""}, {'role': 'user', 'content': 'Argument A:\nFact - Bicycles have property P.\nClaim - Caravans have property P.\n\nArgument B:\nFact - Caravans have property P.\nClaim - Bicycles have property P.\n\nQuestion: Given the facts presented, which argument has a more likely claim?\nA - Argument A is much more likely\nB - Argument A is moderately more likely\nC - Argument A is slightly more likely\nD - Argument B is slightly more likely\nE - Argument B is moderately more likely\nF - Argument B is much more likely\nAnswer:'}]",False
22,experiment_1_chatprompt,"['Bicycles', 'Carts', 'All vehicles', 'Bicycles', 'Carts', 'All things']","['Bicycles', 'Carts']","['Bicycles', 'Carts']",All vehicles,All things,Vehicles,"[{'role': 'system', 'content': ""We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property. Given the facts presented for each argument, we will then ask you which has a more likely claim.""}, {'role': 'user', 'content': 'Argument A:\nFact - Bicycles have property P.\nFact - Carts have property P.\nClaim - All vehicles have property P.\n\nArgument B:\nFact - Bicycles have property P.\nFact - Carts have property P.\nClaim - All things have property P.\n\nQuestion: Given the facts presented, which argument has a more likely claim?\nA - Argument A is much more likely\nB - Argument A is moderately more likely\nC - Argument A is slightly more likely\nD - Argument B is slightly more likely\nE - Argument B is moderately more likely\nF - Argument B is much more likely\nAnswer:'}]",False
23,experiment_1_chatprompt,"['Bicycles', 'Rockets', 'Rockets', 'Bicycles']",['Bicycles'],['Rockets'],Rockets,Bicycles,Vehicles,"[{'role': 'system', 'content': ""We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property. Given the facts presented for each argument, we will then ask you which has a more likely claim.""}, {'role': 'user', 'content': 'Argument A:\nFact - Bicycles have property P.\nClaim - Rockets have property P.\n\nArgument B:\nFact - Rockets have property P.\nClaim - Bicycles have property P.\n\nQuestion: Given the facts presented, which argument has a more likely claim?\nA - Argument A is much more likely\nB - Argument A is moderately more likely\nC - Argument A is slightly more likely\nD - Argument B is slightly more likely\nE - Argument B is moderately more likely\nF - Argument B is much more likely\nAnswer:'}]",False
24,experiment_1_chatprompt,"['Bicycles', 'Skateboards', 'All vehicles', 'Bicycles', 'Skateboards', 'Saws', 'All vehicles']","['Bicycles', 'Skateboards']","['Bicycles', 'Skateboards', 'Saws']",All vehicles,All vehicles,Vehicles,"[{'role': 'system', 'content': ""We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property. Given the facts presented for each argument, we will then ask you which has a more likely claim.""}, {'role': 'user', 'content': 'Argument A:\nFact - Bicycles have property P.\nFact - Skateboards have property P.\nClaim - All vehicles have property P.\n\nArgument B:\nFact - Bicycles have property P.\nFact - Skateboards have property P.\nFact - Saws have property P.\nClaim - All vehicles have property P.\n\nQuestion: Given the facts presented, which argument has a more likely claim?\nA - Argument A is much more likely\nB - Argument A is moderately more likely\nC - Argument A is slightly more likely\nD - Argument B is slightly more likely\nE - Argument B is moderately more likely\nF - Argument B is much more likely\nAnswer:'}]",False
25,experiment_1_chatprompt,"['Bicycles', 'Submarines', 'All vehicles', 'Bicycles', 'Mopeds', 'All vehicles']","['Bicycles', 'Submarines']","['Bicycles', 'Mopeds']",All vehicles,All vehicles,Vehicles,"[{'role': 'system', 'content': ""We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property. Given the facts presented for each argument, we will then ask you which has a more likely claim.""}, {'role': 'user', 'content': 'Argument A:\nFact - Bicycles have property P.\nFact - Submarines have property P.\nClaim - All vehicles have property P.\n\nArgument B:\nFact - Bicycles have property P.\nFact - Mopeds have property P.\nClaim - All vehicles have property P.\n\nQuestion: Given the facts presented, which argument has a more likely claim?\nA - Argument A is much more likely\nB - Argument A is moderately more likely\nC - Argument A is slightly more likely\nD - Argument B is slightly more likely\nE - Argument B is moderately more likely\nF - Argument B is much more likely\nAnswer:'}]",False
26,experiment_1_chatprompt,"['Bicycles', 'Vans', 'All vehicles', 'Bicycles', 'Vans', 'All things']","['Bicycles', 'Vans']","['Bicycles', 'Vans']",All vehicles,All things,Vehicles,"[{'role': 'system', 'content': ""We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property. Given the facts presented for each argument, we will then ask you which has a more likely claim.""}, {'role': 'user', 'content': 'Argument A:\nFact - Bicycles have property P.\nFact - Vans have property P.\nClaim - All vehicles have property P.\n\nArgument B:\nFact - Bicycles have property P.\nFact - Vans have property P.\nClaim - All things have property P.\n\nQuestion: Given the facts presented, which argument has a more likely claim?\nA - Argument A is much more likely\nB - Argument A is moderately more likely\nC - Argument A is slightly more likely\nD - Argument B is slightly more likely\nE - Argument B is moderately more likely\nF - Argument B is much more likely\nAnswer:'}]",False
27,experiment_1_chatprompt,"['Bicycles', 'Zeppelins', 'All vehicles', 'Bicycles', 'Mopeds', 'All vehicles']","['Bicycles', 'Zeppelins']","['Bicycles', 'Mopeds']",All vehicles,All vehicles,Vehicles,"[{'role': 'system', 'content': ""We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property. Given the facts presented for each argument, we will then ask you which has a more likely claim.""}, {'role': 'user', 'content': 'Argument A:\nFact - Bicycles have property P.\nFact - Zeppelins have property P.\nClaim - All vehicles have property P.\n\nArgument B:\nFact - Bicycles have property P.\nFact - Mopeds have property P.\nClaim - All vehicles have property P.\n\nQuestion: Given the facts presented, which argument has a more likely claim?\nA - Argument A is much more likely\nB - Argument A is moderately more likely\nC - Argument A is slightly more likely\nD - Argument B is slightly more likely\nE - Argument B is moderately more likely\nF - Argument B is much more likely\nAnswer:'}]",False
28,experiment_1_chatprompt,"['Blackbirds', 'All birds', 'Blackbirds', 'Penguins']",['Blackbirds'],['Blackbirds'],All birds,Penguins,Birds,"[{'role': 'system', 'content': ""We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property. Given the facts presented for each argument, we will then ask you which has a more likely claim.""}, {'role': 'user', 'content': 'Argument A:\nFact - Blackbirds have property P.\nClaim - All birds have property P.\n\nArgument B:\nFact - Blackbirds have property P.\nClaim - Penguins have property P.\n\nQuestion: Given the facts presented, which argument has a more likely claim?\nA - Argument A is much more likely\nB - Argument A is moderately more likely\nC - Argument A is slightly more likely\nD - Argument B is slightly more likely\nE - Argument B is moderately more likely\nF - Argument B is much more likely\nAnswer:'}]",False
29,experiment_1_chatprompt,"['Blackbirds', 'All birds', 'Blackbirds', 'Storks']",['Blackbirds'],['Blackbirds'],All birds,Storks,Birds,"[{'role': 'system', 'content': ""We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property. Given the facts presented for each argument, we will then ask you which has a more likely claim.""}, {'role': 'user', 'content': 'Argument A:\nFact - Blackbirds have property P.\nClaim - All birds have property P.\n\nArgument B:\nFact - Blackbirds have property P.\nClaim - Storks have property P.\n\nQuestion: Given the facts presented, which argument has a more likely claim?\nA - Argument A is much more likely\nB - Argument A is moderately more likely\nC - Argument A is slightly more likely\nD - Argument B is slightly more likely\nE - Argument B is moderately more likely\nF - Argument B is much more likely\nAnswer:'}]",False
