,argument,domain,conclusion_type,is_single_premise,prompt_generator,model,probabilities,strength_rating,strength_ranking
18,"(('All man-made things',), 'All vehicles')",Vehicles,General,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998354194348674, 8.89397841323625e-05)",0.999746479650735,2.0
19,"(('All plants and animals',), 'All birds')",Birds,General,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9999224425077379, 2.9784304435550565e-05)",0.9998926582033024,1.0
20,"(('All plants and animals',), 'All mammals')",Mammals,General,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9999301914427308, 1.968276850828787e-05)",0.9999105086742224,1.0
21,"(('All things that can move',), 'All vehicles')",Vehicles,General,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998908504622442, 3.741817533745622e-05)",0.9998534322869068,1.0
22,"(('All things',), 'All vehicles')",Vehicles,General,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9997662180312642, 0.00014291793122068466)",0.9996233001000436,3.0
23,"(('All transport', 'All moving things'), 'All vehicles')",Vehicles,General,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998754752738475, 9.134025969839126e-06)",0.9998663412478777,4.0
24,"(('Beavers', 'Camels'), 'Tigers')",Mammals,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998358971263498, 4.308959522894209e-05)",0.9997928075311208,95.0
25,"(('Beavers', 'Cats'), 'All mammals')",Mammals,General,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9886969697173003, 0.011176499098083116)",0.9775204706192172,74.0
26,"(('Beavers', 'Hedgehogs'), 'Elephants')",Mammals,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998575926008965, 1.737634081990319e-05)",0.9998402162600766,80.0
27,"(('Beavers', 'Horses'), 'Tigers')",Mammals,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998918040236069, 9.321760987112098e-06)",0.9998824822626198,28.0
28,"(('Beavers', 'Llamas'), 'Dogs')",Mammals,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9997909535132624, 5.909991924299147e-05)",0.9997318535940194,107.0
29,"(('Beavers', 'Mice'), 'All mammals')",Mammals,General,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9777999304173998, 0.022028694059948152)",0.9557712363574516,84.0
30,"(('Beavers', 'Mice'), 'Giraffes')",Mammals,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9995198707189703, 0.0003188499315119821)",0.9992010207874584,116.0
31,"(('Beavers', 'Mice'), 'Hamsters')",Mammals,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998406646952183, 1.4473126108267768e-05)",0.99982619156911,88.0
32,"(('Beavers', 'Rabbits'), 'All mammals')",Mammals,General,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9316545290492733, 0.06806008915249061)",0.8635944398967826,93.0
33,"(('Beavers', 'Zebras'), 'Horses')",Mammals,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998505584475014, 1.599769353785061e-05)",0.9998345607539636,85.0
34,"(('Beavers',), 'All mammals')",Mammals,General,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.00011448794778841195, 0.9997923837252423)",-0.9996778957774538,25.0
35,"(('Beavers',), 'Dogs')",Mammals,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.22851294915294207, 0.7712231253076023)",-0.5427101761546602,142.0
36,"(('Beavers',), 'Donkeys')",Mammals,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.021590987429472148, 0.9782505995614063)",-0.956659612131934,156.0
37,"(('Beavers',), 'Elephants')",Mammals,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.4534545205057403, 0.5463282463962217)",-0.0928737258904813,136.0
38,"(('Beavers',), 'Giraffes')",Mammals,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.023471588247964803, 0.9763672935529931)",-0.9528957053050284,155.0
39,"(('Beavers',), 'Hamsters')",Mammals,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.7550402272701394, 0.24474072355642984)",0.5102995037137096,126.0
40,"(('Beavers',), 'Horses')",Mammals,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.4214760474848044, 0.578280172640833)",-0.1568041251560286,137.0
41,"(('Beavers',), 'Tigers')",Mammals,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.0013498362367514736, 0.9984758949295961)",-0.9971260586928448,167.0
42,"(('Bicycles', 'Airplanes'), 'Skateboards')",Vehicles,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998385183395672, 3.4323064341178954e-05)",0.999804195275226,61.0
43,"(('Bicycles', 'Carts'), 'Carriages')",Vehicles,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998900160886739, 1.0587621735627695e-05)",0.9998794284669382,26.0
44,"(('Bicycles', 'Mopeds'), 'All vehicles')",Vehicles,General,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.003392337727902007, 0.996377558628574)",-0.992985220900672,68.0
45,"(('Bicycles', 'Mopeds'), 'Rockets')",Vehicles,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9342279011536243, 0.06560436799232082)",0.8686235331613035,95.0
46,"(('Bicycles', 'Motorbikes'), 'All vehicles')",Vehicles,General,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.8469292143655996, 0.15280131442941025)",0.6941278999361894,26.0
47,"(('Bicycles', 'Sleds'), 'All vehicles')",Vehicles,General,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.0030310535913012832, 0.9967212425034835)",-0.9936901889121822,70.0
48,"(('Bicycles', 'Submarines'), 'All vehicles')",Vehicles,General,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.01534190355197685, 0.9843239407772707)",-0.968982037225294,55.0
49,"(('Bicycles', 'Tractors'), 'All vehicles')",Vehicles,General,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.5917038042287367, 0.4080313619531101)",0.1836724422756265,30.0
50,"(('Bicycles', 'Trains'), 'All vehicles')",Vehicles,General,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9516499018357316, 0.04820802876062138)",0.9034418730751104,20.0
51,"(('Bicycles', 'Trains'), 'Trams')",Vehicles,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998964545412011, 2.2418234120453875e-06)",0.9998942127177892,13.0
52,"(('Bicycles', 'Trams'), 'All vehicles')",Vehicles,General,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.33420199278066726, 0.6655519650320273)",-0.33134997225136,34.0
53,"(('Bicycles',), 'All vehicles')",Vehicles,General,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(5.769990678285296e-05, 0.9998805987488969)",-0.999822898842114,14.0
54,"(('Bicycles',), 'Boats')",Vehicles,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.4604094853203907, 0.5394376882649399)",-0.0790282029445491,116.0
55,"(('Bicycles',), 'Buses')",Vehicles,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9643680313209597, 0.0354961939828167)",0.928871837338143,83.0
56,"(('Bicycles',), 'Carriages')",Vehicles,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.993999440701767, 0.005894271688226783)",0.9881051690135404,64.0
57,"(('Bicycles',), 'Rockets')",Vehicles,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.01715493657245068, 0.9826640226493323)",-0.9655090860768816,132.0
58,"(('Bicycles',), 'Skateboards')",Vehicles,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998480544948878, 7.071315036671346e-05)",0.9997773413445212,25.0
59,"(('Bicycles',), 'Submarines')",Vehicles,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.00012858067880785107, 0.9997630001489028)",-0.999634419470095,160.0
60,"(('Bicycles',), 'Trams')",Vehicles,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9986754516894921, 0.0012099704998015384)",0.9974654811896906,53.0
61,"(('Blackbirds', 'Crows'), 'Pelicans')",Birds,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998270743633618, 5.532349324531653e-06)",0.9998215420140372,73.0
62,"(('Blackbirds', 'Doves'), 'All birds')",Birds,General,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.999034749554206, 0.0008391486432718406)",0.9981956009109342,31.0
63,"(('Blackbirds', 'Ducks'), 'Seagulls')",Birds,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998321975804012, 1.100171927116974e-05)",0.99982119586113,74.0
64,"(('Blackbirds', 'Eagles'), 'Falcons')",Birds,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.999886917004364, 1.5319195516538037e-06)",0.9998853850848124,11.0
65,"(('Blackbirds', 'Parrots'), 'Ostriches')",Birds,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998136033840083, 4.127617916756813e-05)",0.9997723272048408,92.0
66,"(('Blackbirds', 'Robins'), 'Roosters')",Birds,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998100278070027, 3.081709467613579e-05)",0.9997792107123266,88.0
67,"(('Blackbirds', 'Storks'), 'Canaries')",Birds,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998438818976995, 4.850091437984115e-06)",0.9998390318062614,51.0
68,"(('Blackbirds',), 'All birds')",Birds,General,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.11753620090973155, 0.8823046715738905)",-0.7647684706641589,8.0
69,"(('Blackbirds',), 'Canaries')",Birds,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998223059094654, 6.680090029783464e-05)",0.9997555050091677,40.0
70,"(('Blackbirds',), 'Doves')",Birds,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998202787917916, 5.060328817937978e-05)",0.9997696755036122,36.0
71,"(('Blackbirds',), 'Falcons')",Birds,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998575926008965, 2.7272300624422057e-05)",0.999830320300272,22.0
72,"(('Blackbirds',), 'Magpies')",Birds,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9999016992018401, 1.2414095463689559e-05)",0.9998892851063764,6.0
73,"(('Blackbirds',), 'Ostriches')",Birds,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9989795572062159, 0.0007799203959212304)",0.9981996368102948,102.0
74,"(('Blackbirds',), 'Pelicans')",Birds,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9996745468513695, 0.00021876969554554144)",0.999455777155824,73.0
75,"(('Blackbirds',), 'Roosters')",Birds,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9996967201986195, 0.00021007015743842485)",0.9994866500411812,70.0
76,"(('Blackbirds',), 'Seagulls')",Birds,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998261208487322, 7.784351222677043e-05)",0.9997482773365056,43.0
77,"(('Blackbirds',), 'Sparrows')",Birds,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9997988206092882, 8.480313894420604e-05)",0.999714017470344,49.0
78,"(('Blackbirds',), 'Swallows')",Birds,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9997461930544338, 0.00011416040924100979)",0.9996320326451928,59.0
79,"(('Boats', 'Bicycles'), 'Buses')",Vehicles,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.999904084080226, 1.201171661435526e-05)",0.9998920723636116,16.0
80,"(('Boats', 'Hovercraft'), 'All vehicles')",Vehicles,General,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.0011630795582543221, 0.9986210319514047)",-0.9974579523931504,75.0
81,"(('Boats', 'Jeeps'), 'Cars')",Vehicles,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998986000813193, 3.0539216694711136e-06)",0.9998955461596498,11.0
82,"(('Boats', 'Skateboards'), 'Mopeds')",Vehicles,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998828634410225, 1.8263427409504305e-05)",0.999864600013613,40.0
83,"(('Boats', 'Submarines'), 'Vans')",Vehicles,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.999375867351861, 0.000531929497979207)",0.9988439378538818,84.0
84,"(('Boats', 'Trams'), 'All vehicles')",Vehicles,General,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.08627293028740979, 0.9134812123885846)",-0.8272082821011748,42.0
85,"(('Boats', 'Trams'), 'Buses')",Vehicles,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998850108217624, 1.251570878307302e-05)",0.9998724951129794,32.0
86,"(('Boats',), 'All vehicles')",Vehicles,General,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.00012828233255431838, 0.9997686016467298)",-0.9996403193141754,13.0
87,"(('Boats',), 'Buses')",Vehicles,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.196749821289031, 0.8030733935672592)",-0.6063235722782281,120.0
88,"(('Boats',), 'Caravans')",Vehicles,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9943736985529932, 0.005514656019643623)",0.9888590425333496,62.0
89,"(('Boats',), 'Cars')",Vehicles,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.8828968913804371, 0.11693690069074748)",0.7659599906896897,99.0
90,"(('Boats',), 'Carts')",Vehicles,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9450732889983313, 0.05478086088252833)",0.890292428115803,89.0
91,"(('Boats',), 'Hovercraft')",Vehicles,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998360125674092, 5.662499853687098e-05)",0.9997793875688724,24.0
92,"(('Boats',), 'Mopeds')",Vehicles,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9164686394667839, 0.08338031738903263)",0.8330883220777513,94.0
93,"(('Boats',), 'Skateboards')",Vehicles,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.00035165520277417113, 0.9994946005573458)",-0.9991429453545716,153.0
94,"(('Boats',), 'Tractors')",Vehicles,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9805720187477908, 0.019190674904258697)",0.961381343843532,78.0
95,"(('Boats',), 'Trams')",Vehicles,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.0017961226873377076, 0.9980274300782833)",-0.9962313073909456,144.0
96,"(('Boats',), 'Vans')",Vehicles,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9339652845687542, 0.06589689206280488)",0.8680683925059492,91.0
97,"(('Buses', 'Cars'), 'Zeppelins')",Vehicles,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9995863312745105, 0.00029485348087745844)",0.999291477793633,81.0
98,"(('Buses', 'Mopeds'), 'Cars')",Vehicles,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998600956275296, 2.8911329946560167e-05)",0.9998311842975832,54.0
99,"(('Buses', 'Rockets'), 'Airplanes')",Vehicles,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9999033679591764, 1.029009365087237e-06)",0.9999023389498114,7.0
100,"(('Buses', 'Sleds'), 'All vehicles')",Vehicles,General,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.19702087330384355, 0.8027087445366958)",-0.6056878712328523,37.0
101,"(('Buses', 'Trucks'), 'Zeppelins')",Vehicles,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9979108411365857, 0.001987235702803269)",0.9959236054337824,87.0
102,"(('Buses',), 'Airplanes')",Vehicles,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9989213826263514, 0.0009589608573733681)",0.997962421768978,51.0
103,"(('Buses',), 'All vehicles')",Vehicles,General,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.0008152982179969944, 0.9990526305880271)",-0.99823733237003,7.0
104,"(('Buses',), 'Boats')",Vehicles,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.7847196333208927, 0.2150732739170779)",0.5696463594038148,105.0
105,"(('Buses',), 'Carriages')",Vehicles,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9995046137942853, 0.00038878308188305786)",0.9991158307124024,42.0
106,"(('Buses',), 'Cars')",Vehicles,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998178931834597, 0.00012433823551888395)",0.9996935549479408,34.0
107,"(('Buses',), 'Trains')",Vehicles,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998496039806154, 6.094315582345546e-05)",0.999788660824792,22.0
108,"(('Buses',), 'Vans')",Vehicles,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998156314279745, 7.75578847807103e-05)",0.9997380735431938,30.0
109,"(('Buses',), 'Zeppelins')",Vehicles,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.954745322573307, 0.045131835255229055)",0.909613487318078,86.0
110,"(('Camels', 'Beavers'), 'Donkeys')",Mammals,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998233785993964, 3.1935446165427966e-05)",0.999791443153231,96.0
111,"(('Camels', 'Beavers'), 'Elephants')",Mammals,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998647441378989, 1.4709411955246267e-05)",0.9998500347259436,73.0
112,"(('Camels', 'Cows'), 'All mammals')",Mammals,General,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9975626859849313, 0.0022904041322984446)",0.9952722818526328,54.0
113,"(('Camels', 'Donkeys'), 'All mammals')",Mammals,General,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.33338730059092914, 0.6663159510222404)",-0.3329286504313112,101.0
114,"(('Camels', 'Giraffes'), 'All mammals')",Mammals,General,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9317980614847753, 0.06800632931335214)",0.8637917321714231,92.0
115,"(('Camels', 'Giraffes'), 'Cats')",Mammals,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9993029101800809, 0.0005617335111374217)",0.9987411766689436,117.0
116,"(('Camels', 'Horses'), 'Cats')",Mammals,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9997777223173454, 0.00011617812317371875)",0.9996615441941716,110.0
117,"(('Camels', 'Wolves'), 'Dogs')",Mammals,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998665310877679, 1.8927588334260907e-05)",0.9998476034994336,78.0
118,"(('Camels', 'Wolves'), 'Llamas')",Mammals,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998337498510879, 1.509038155825823e-05)",0.9998186594695296,91.0
119,"(('Camels',), 'All mammals')",Mammals,General,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(3.0242238043999005e-05, 0.9998851290881685)",-0.9998548868501244,27.0
120,"(('Camels',), 'Cats')",Mammals,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(1.4337135480991079e-05, 0.9998559239099569)",-0.999841586774476,169.0
121,"(('Camels',), 'Dogs')",Mammals,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.0014581869937771773, 0.9983886941494408)",-0.9969305071556636,166.0
122,"(('Camels',), 'Donkeys')",Mammals,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9907792026990317, 0.009091357881917518)",0.9816878448171142,92.0
123,"(('Camels',), 'Elephants')",Mammals,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9988671407700555, 0.0009192219061112319)",0.9979479188639442,66.0
124,"(('Camels',), 'Hedgehogs')",Mammals,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.0016127694862533358, 0.9982362232855546)",-0.9966234537993012,165.0
125,"(('Camels',), 'Llamas')",Mammals,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998966929365423, 2.7949395122795766e-05)",0.9998687435414194,16.0
126,"(('Camels',), 'Mice')",Mammals,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.007336356127633075, 0.9924697484861799)",-0.9851333923585468,160.0
127,"(('Camels',), 'Tigers')",Mammals,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.004428043678608511, 0.9954195862382121)",-0.9909915425596036,163.0
128,"(('Canaries', 'Blackbirds'), 'All birds')",Birds,General,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9772083009569613, 0.022621859628051334)",0.95458644132891,73.0
129,"(('Canaries', 'Blackbirds'), 'Ostriches')",Birds,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9997810594209875, 6.844507220381831e-05)",0.9997126143487836,97.0
130,"(('Canaries', 'Chickens'), 'Storks')",Birds,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9985443208302421, 0.0012999064222372)",0.9972444144080048,101.0
131,"(('Canaries', 'Robins'), 'All birds')",Birds,General,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9969193106917917, 0.002920207510462724)",0.993999103181329,50.0
132,"(('Canaries', 'Robins'), 'Falcons')",Birds,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998802411616623, 2.777850863273377e-06)",0.9998774633107992,20.0
133,"(('Canaries', 'Seagulls'), 'Storks')",Birds,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998622420295007, 2.4986147166839947e-05)",0.999837255882334,54.0
134,"(('Canaries', 'Sparrows'), 'Pelicans')",Birds,Specific,False,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998759529844674, 7.384827503043771e-06)",0.9998685681569645,24.0
135,"(('Canaries',), 'All birds')",Birds,General,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.0018193124936517755, 0.9980398269533931)",-0.9962205144597414,17.0
136,"(('Canaries',), 'Eagles')",Birds,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9963519877237637, 0.0035122163571350245)",0.9928397713666286,125.0
137,"(('Canaries',), 'Falcons')",Birds,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9998099085996602, 9.122477883818785e-05)",0.999718683820822,48.0
138,"(('Canaries',), 'Ostriches')",Birds,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9574767616874231, 0.04236354814801599)",0.9151132135394072,158.0
139,"(('Canaries',), 'Pelicans')",Birds,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9884779214777634, 0.011378796631860413)",0.977099124845903,146.0
140,"(('Canaries',), 'Storks')",Birds,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9065707131910377, 0.09317456521076119)",0.8133961479802765,162.0
141,"(('Canaries',), 'Swans')",Birds,Specific,True,two_choice_isitlikelythattheclaimistrue,text-davinci-003,"(0.9940514143152579, 0.005772237453827162)",0.9882791768614309,134.0
