,domain,c1,c2,prompt_name,prompt
11,Mammals,Beavers,Llamas,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are beavers and llamas similar to one another?
A - Yes
B - No
Answer:"
12,Mammals,Beavers,Lions,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are beavers and lions similar to one another?
A - Yes
B - No
Answer:"
13,Mammals,Beavers,Mice,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are beavers and mice similar to one another?
A - Yes
B - No
Answer:"
14,Mammals,Beavers,Rhinos,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are beavers and rhinos similar to one another?
A - Yes
B - No
Answer:"
15,Mammals,Beavers,Hippos,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are beavers and hippos similar to one another?
A - Yes
B - No
Answer:"
16,Mammals,Beavers,Elephants,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are beavers and elephants similar to one another?
A - Yes
B - No
Answer:"
17,Mammals,Beavers,Horses,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are beavers and horses similar to one another?
A - Yes
B - No
Answer:"
18,Mammals,Beavers,Sheep,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are beavers and sheep similar to one another?
A - Yes
B - No
Answer:"
19,Mammals,Beavers,Tigers,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are beavers and tigers similar to one another?
A - Yes
B - No
Answer:"
20,Mammals,Beavers,Foxes,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are beavers and foxes similar to one another?
A - Yes
B - No
Answer:"
21,Mammals,Beavers,Wolves,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are beavers and wolves similar to one another?
A - Yes
B - No
Answer:"
22,Mammals,Beavers,Zebras,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are beavers and zebras similar to one another?
A - Yes
B - No
Answer:"
23,Mammals,Camels,Beavers,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are camels and beavers similar to one another?
A - Yes
B - No
Answer:"
24,Mammals,Camels,Squirrels,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are camels and squirrels similar to one another?
A - Yes
B - No
Answer:"
25,Mammals,Camels,Hedgehogs,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are camels and hedgehogs similar to one another?
A - Yes
B - No
Answer:"
26,Mammals,Camels,Donkeys,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are camels and donkeys similar to one another?
A - Yes
B - No
Answer:"
27,Mammals,Camels,Giraffes,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are camels and giraffes similar to one another?
A - Yes
B - No
Answer:"
28,Mammals,Camels,Hamsters,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are camels and hamsters similar to one another?
A - Yes
B - No
Answer:"
29,Mammals,Camels,Deer,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are camels and deer similar to one another?
A - Yes
B - No
Answer:"
30,Mammals,Camels,Dogs,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are camels and dogs similar to one another?
A - Yes
B - No
Answer:"
31,Mammals,Camels,Cats,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are camels and cats similar to one another?
A - Yes
B - No
Answer:"
32,Mammals,Camels,Cows,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are camels and cows similar to one another?
A - Yes
B - No
Answer:"
33,Mammals,Camels,Rabbits,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are camels and rabbits similar to one another?
A - Yes
B - No
Answer:"
34,Mammals,Camels,Llamas,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are camels and llamas similar to one another?
A - Yes
B - No
Answer:"
35,Mammals,Camels,Lions,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are camels and lions similar to one another?
A - Yes
B - No
Answer:"
36,Mammals,Camels,Mice,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are camels and mice similar to one another?
A - Yes
B - No
Answer:"
37,Mammals,Camels,Rhinos,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are camels and rhinos similar to one another?
A - Yes
B - No
Answer:"
38,Mammals,Camels,Hippos,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are camels and hippos similar to one another?
A - Yes
B - No
Answer:"
39,Mammals,Camels,Elephants,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are camels and elephants similar to one another?
A - Yes
B - No
Answer:"
40,Mammals,Camels,Horses,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are camels and horses similar to one another?
A - Yes
B - No
Answer:"
41,Mammals,Camels,Sheep,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are camels and sheep similar to one another?
A - Yes
B - No
Answer:"
42,Mammals,Camels,Tigers,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are camels and tigers similar to one another?
A - Yes
B - No
Answer:"
43,Mammals,Camels,Foxes,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are camels and foxes similar to one another?
A - Yes
B - No
Answer:"
44,Mammals,Camels,Wolves,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are camels and wolves similar to one another?
A - Yes
B - No
Answer:"
45,Mammals,Camels,Zebras,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are camels and zebras similar to one another?
A - Yes
B - No
Answer:"
46,Mammals,Squirrels,Beavers,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are squirrels and beavers similar to one another?
A - Yes
B - No
Answer:"
47,Mammals,Squirrels,Camels,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are squirrels and camels similar to one another?
A - Yes
B - No
Answer:"
48,Mammals,Squirrels,Hedgehogs,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are squirrels and hedgehogs similar to one another?
A - Yes
B - No
Answer:"
49,Mammals,Squirrels,Donkeys,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are squirrels and donkeys similar to one another?
A - Yes
B - No
Answer:"
50,Mammals,Squirrels,Giraffes,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are squirrels and giraffes similar to one another?
A - Yes
B - No
Answer:"
51,Mammals,Squirrels,Hamsters,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are squirrels and hamsters similar to one another?
A - Yes
B - No
Answer:"
52,Mammals,Squirrels,Deer,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are squirrels and deer similar to one another?
A - Yes
B - No
Answer:"
53,Mammals,Squirrels,Dogs,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are squirrels and dogs similar to one another?
A - Yes
B - No
Answer:"
54,Mammals,Squirrels,Cats,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are squirrels and cats similar to one another?
A - Yes
B - No
Answer:"
55,Mammals,Squirrels,Cows,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are squirrels and cows similar to one another?
A - Yes
B - No
Answer:"
56,Mammals,Squirrels,Rabbits,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are squirrels and rabbits similar to one another?
A - Yes
B - No
Answer:"
57,Mammals,Squirrels,Llamas,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are squirrels and llamas similar to one another?
A - Yes
B - No
Answer:"
58,Mammals,Squirrels,Lions,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are squirrels and lions similar to one another?
A - Yes
B - No
Answer:"
59,Mammals,Squirrels,Mice,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are squirrels and mice similar to one another?
A - Yes
B - No
Answer:"
60,Mammals,Squirrels,Rhinos,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are squirrels and rhinos similar to one another?
A - Yes
B - No
Answer:"
61,Mammals,Squirrels,Hippos,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are squirrels and hippos similar to one another?
A - Yes
B - No
Answer:"
62,Mammals,Squirrels,Elephants,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are squirrels and elephants similar to one another?
A - Yes
B - No
Answer:"
63,Mammals,Squirrels,Horses,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are squirrels and horses similar to one another?
A - Yes
B - No
Answer:"
64,Mammals,Squirrels,Sheep,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are squirrels and sheep similar to one another?
A - Yes
B - No
Answer:"
65,Mammals,Squirrels,Tigers,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are squirrels and tigers similar to one another?
A - Yes
B - No
Answer:"
66,Mammals,Squirrels,Foxes,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are squirrels and foxes similar to one another?
A - Yes
B - No
Answer:"
67,Mammals,Squirrels,Wolves,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are squirrels and wolves similar to one another?
A - Yes
B - No
Answer:"
68,Mammals,Squirrels,Zebras,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are squirrels and zebras similar to one another?
A - Yes
B - No
Answer:"
69,Mammals,Hedgehogs,Beavers,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are hedgehogs and beavers similar to one another?
A - Yes
B - No
Answer:"
70,Mammals,Hedgehogs,Camels,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are hedgehogs and camels similar to one another?
A - Yes
B - No
Answer:"
71,Mammals,Hedgehogs,Squirrels,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are hedgehogs and squirrels similar to one another?
A - Yes
B - No
Answer:"
72,Mammals,Hedgehogs,Donkeys,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are hedgehogs and donkeys similar to one another?
A - Yes
B - No
Answer:"
73,Mammals,Hedgehogs,Giraffes,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are hedgehogs and giraffes similar to one another?
A - Yes
B - No
Answer:"
74,Mammals,Hedgehogs,Hamsters,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are hedgehogs and hamsters similar to one another?
A - Yes
B - No
Answer:"
75,Mammals,Hedgehogs,Deer,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are hedgehogs and deer similar to one another?
A - Yes
B - No
Answer:"
76,Mammals,Hedgehogs,Dogs,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are hedgehogs and dogs similar to one another?
A - Yes
B - No
Answer:"
77,Mammals,Hedgehogs,Cats,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are hedgehogs and cats similar to one another?
A - Yes
B - No
Answer:"
78,Mammals,Hedgehogs,Cows,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are hedgehogs and cows similar to one another?
A - Yes
B - No
Answer:"
79,Mammals,Hedgehogs,Rabbits,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are hedgehogs and rabbits similar to one another?
A - Yes
B - No
Answer:"
80,Mammals,Hedgehogs,Llamas,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are hedgehogs and llamas similar to one another?
A - Yes
B - No
Answer:"
81,Mammals,Hedgehogs,Lions,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are hedgehogs and lions similar to one another?
A - Yes
B - No
Answer:"
82,Mammals,Hedgehogs,Mice,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are hedgehogs and mice similar to one another?
A - Yes
B - No
Answer:"
83,Mammals,Hedgehogs,Rhinos,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are hedgehogs and rhinos similar to one another?
A - Yes
B - No
Answer:"
84,Mammals,Hedgehogs,Hippos,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are hedgehogs and hippos similar to one another?
A - Yes
B - No
Answer:"
85,Mammals,Hedgehogs,Elephants,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are hedgehogs and elephants similar to one another?
A - Yes
B - No
Answer:"
86,Mammals,Hedgehogs,Horses,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are hedgehogs and horses similar to one another?
A - Yes
B - No
Answer:"
87,Mammals,Hedgehogs,Sheep,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are hedgehogs and sheep similar to one another?
A - Yes
B - No
Answer:"
88,Mammals,Hedgehogs,Tigers,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are hedgehogs and tigers similar to one another?
A - Yes
B - No
Answer:"
89,Mammals,Hedgehogs,Foxes,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are hedgehogs and foxes similar to one another?
A - Yes
B - No
Answer:"
90,Mammals,Hedgehogs,Wolves,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are hedgehogs and wolves similar to one another?
A - Yes
B - No
Answer:"
91,Mammals,Hedgehogs,Zebras,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are hedgehogs and zebras similar to one another?
A - Yes
B - No
Answer:"
92,Mammals,Donkeys,Beavers,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are donkeys and beavers similar to one another?
A - Yes
B - No
Answer:"
93,Mammals,Donkeys,Camels,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are donkeys and camels similar to one another?
A - Yes
B - No
Answer:"
94,Mammals,Donkeys,Squirrels,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are donkeys and squirrels similar to one another?
A - Yes
B - No
Answer:"
95,Mammals,Donkeys,Hedgehogs,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are donkeys and hedgehogs similar to one another?
A - Yes
B - No
Answer:"
96,Mammals,Donkeys,Giraffes,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are donkeys and giraffes similar to one another?
A - Yes
B - No
Answer:"
97,Mammals,Donkeys,Hamsters,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are donkeys and hamsters similar to one another?
A - Yes
B - No
Answer:"
98,Mammals,Donkeys,Deer,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are donkeys and deer similar to one another?
A - Yes
B - No
Answer:"
99,Mammals,Donkeys,Dogs,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are donkeys and dogs similar to one another?
A - Yes
B - No
Answer:"
100,Mammals,Donkeys,Cats,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are donkeys and cats similar to one another?
A - Yes
B - No
Answer:"
101,Mammals,Donkeys,Cows,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are donkeys and cows similar to one another?
A - Yes
B - No
Answer:"
102,Mammals,Donkeys,Rabbits,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are donkeys and rabbits similar to one another?
A - Yes
B - No
Answer:"
103,Mammals,Donkeys,Llamas,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are donkeys and llamas similar to one another?
A - Yes
B - No
Answer:"
104,Mammals,Donkeys,Lions,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are donkeys and lions similar to one another?
A - Yes
B - No
Answer:"
105,Mammals,Donkeys,Mice,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are donkeys and mice similar to one another?
A - Yes
B - No
Answer:"
106,Mammals,Donkeys,Rhinos,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are donkeys and rhinos similar to one another?
A - Yes
B - No
Answer:"
107,Mammals,Donkeys,Hippos,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are donkeys and hippos similar to one another?
A - Yes
B - No
Answer:"
108,Mammals,Donkeys,Elephants,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are donkeys and elephants similar to one another?
A - Yes
B - No
Answer:"
109,Mammals,Donkeys,Horses,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are donkeys and horses similar to one another?
A - Yes
B - No
Answer:"
110,Mammals,Donkeys,Sheep,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are donkeys and sheep similar to one another?
A - Yes
B - No
Answer:"
111,Mammals,Donkeys,Tigers,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are donkeys and tigers similar to one another?
A - Yes
B - No
Answer:"
112,Mammals,Donkeys,Foxes,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are donkeys and foxes similar to one another?
A - Yes
B - No
Answer:"
113,Mammals,Donkeys,Wolves,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are donkeys and wolves similar to one another?
A - Yes
B - No
Answer:"
114,Mammals,Donkeys,Zebras,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are donkeys and zebras similar to one another?
A - Yes
B - No
Answer:"
115,Mammals,Giraffes,Beavers,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are giraffes and beavers similar to one another?
A - Yes
B - No
Answer:"
116,Mammals,Giraffes,Camels,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are giraffes and camels similar to one another?
A - Yes
B - No
Answer:"
117,Mammals,Giraffes,Squirrels,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are giraffes and squirrels similar to one another?
A - Yes
B - No
Answer:"
118,Mammals,Giraffes,Hedgehogs,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, are giraffes and hedgehogs similar to one another?
A - Yes
B - No
Answer:"
