,gpt3_model,prompt_type,valid_prompt_completions,p1,p2,c1,c2,domain,prompt,is_flipped,argpair_id,gpt3_completion,gpt3_completion_probabilities,gpt3_argument_pair_rating
10,text-davinci-003,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']",['Airplanes'],"['Airplanes', 'Ropes']",Trucks,Trucks,Vehicles,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Airplanes have property P.
Claim - Trucks have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Ropes have property P.
Claim - Trucks have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",False,"['Airplanes', 'Trucks', 'Airplanes', 'Ropes', 'Trucks']","{
  ""finish_reason"": ""length"",
  ""index"": 10,
  ""logprobs"": {
    ""text_offset"": [
      816
    ],
    ""token_logprobs"": [
      -0.52262795
    ],
    ""tokens"": [
      "" D""
    ],
    ""top_logprobs"": [
      {
        "" A"": -3.6659937,
        "" B"": -2.781989,
        "" D"": -0.52262795,
        "" E"": -1.7721834,
        "" F"": -2.011386
      }
    ]
  },
  ""text"": "" D""
}","[0.025578741055809335, 0.06191523542078546, 0, 0.5929602288144981, 0.16996148949101678, 0.13380309500213117]",-0.3752117571414589
11,text-davinci-003,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Ropes']",['Airplanes'],Trucks,Trucks,Vehicles,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Airplanes have property P.
Fact - Ropes have property P.
Claim - Trucks have property P.

Argument B:
Fact - Airplanes have property P.
Claim - Trucks have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",True,"['Airplanes', 'Trucks', 'Airplanes', 'Ropes', 'Trucks']","{
  ""finish_reason"": ""length"",
  ""index"": 11,
  ""logprobs"": {
    ""text_offset"": [
      816
    ],
    ""token_logprobs"": [
      -0.05396472
    ],
    ""tokens"": [
      "" A""
    ],
    ""top_logprobs"": [
      {
        "" A"": -0.05396472,
        "" B"": -5.9512615,
        "" C"": -3.013382,
        "" D"": -8.754551,
        "" E"": -8.548321
      }
    ]
  },
  ""text"": "" A""
}","[0.9474655324961467, 0.002602555323167091, 0.04912525588260838, 0.00015774180613246146, 0.000193870334738782, 0]",-0.9652145442337465
12,text-davinci-003,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Vans', 'Carriages']","['Airplanes', 'Vans']",Helicopters,Helicopters,Vehicles,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Airplanes have property P.
Fact - Vans have property P.
Fact - Carriages have property P.
Claim - Helicopters have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Vans have property P.
Claim - Helicopters have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",False,"['Airplanes', 'Vans', 'Carriages', 'Helicopters', 'Airplanes', 'Vans', 'Helicopters']","{
  ""finish_reason"": ""length"",
  ""index"": 12,
  ""logprobs"": {
    ""text_offset"": [
      888
    ],
    ""token_logprobs"": [
      -0.0013587296
    ],
    ""tokens"": [
      "" A""
    ],
    ""top_logprobs"": [
      {
        "" "": -9.537911,
        "" A"": -0.0013587296,
        "" C"": -6.9409885,
        "" Option"": -9.271778,
        ""A"": -8.983292
      }
    ]
  },
  ""text"": "" A""
}","[0.998642193055136, 0, 0.0009673129355724975, 0, 0, 0]",0.998961406323875
13,text-davinci-003,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Airplanes', 'Vans']","['Airplanes', 'Vans', 'Carriages']",Helicopters,Helicopters,Vehicles,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to objects and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other objects have the same property.

Argument A:
Fact - Airplanes have property P.
Fact - Vans have property P.
Claim - Helicopters have property P.

Argument B:
Fact - Airplanes have property P.
Fact - Vans have property P.
Fact - Carriages have property P.
Claim - Helicopters have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",True,"['Airplanes', 'Vans', 'Carriages', 'Helicopters', 'Airplanes', 'Vans', 'Helicopters']","{
  ""finish_reason"": ""length"",
  ""index"": 13,
  ""logprobs"": {
    ""text_offset"": [
      888
    ],
    ""token_logprobs"": [
      -0.43591765
    ],
    ""tokens"": [
      "" E""
    ],
    ""top_logprobs"": [
      {
        "" A"": -5.1301622,
        "" B"": -3.5937698,
        "" D"": -1.4123658,
        "" E"": -0.43591765,
        "" F"": -2.6758296
      }
    ]
  },
  ""text"": "" E""
}","[0.005915600885397739, 0.027494486096372457, 0, 0.24356637167182588, 0.6466709770977569, 0.06884968699535601]",0.5519674728225745
14,text-davinci-003,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']",['Bats'],"['Bats', 'Pythons']",Elephants,Elephants,Mammals,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Bats have property P.
Claim - Elephants have property P.

Argument B:
Fact - Bats have property P.
Fact - Pythons have property P.
Claim - Elephants have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",False,"['Bats', 'Elephants', 'Bats', 'Pythons', 'Elephants']","{
  ""finish_reason"": ""length"",
  ""index"": 14,
  ""logprobs"": {
    ""text_offset"": [
      826
    ],
    ""token_logprobs"": [
      -1.3467597
    ],
    ""tokens"": [
      "" E""
    ],
    ""top_logprobs"": [
      {
        "" A"": -1.8750972,
        "" B"": -1.8557395,
        "" D"": -1.3585051,
        "" E"": -1.3467597,
        "" F"": -2.1277292
      }
    ]
  },
  ""text"": "" E""
}","[0.1533400614665643, 0.1563372884922512, 0, 0.2570447460752383, 0.2600816392858918, 0.11910745620553367]",-0.11906343246760084
15,text-davinci-003,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Bats', 'Pythons']",['Bats'],Elephants,Elephants,Mammals,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Bats have property P.
Fact - Pythons have property P.
Claim - Elephants have property P.

Argument B:
Fact - Bats have property P.
Claim - Elephants have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",True,"['Bats', 'Elephants', 'Bats', 'Pythons', 'Elephants']","{
  ""finish_reason"": ""length"",
  ""index"": 15,
  ""logprobs"": {
    ""text_offset"": [
      826
    ],
    ""token_logprobs"": [
      -0.0043045147
    ],
    ""tokens"": [
      "" A""
    ],
    ""top_logprobs"": [
      {
        "" "": -9.727872,
        "" A"": -0.0043045147,
        "" B"": -9.040547,
        "" C"": -5.54199,
        ""A"": -9.072116
      }
    ]
  },
  ""text"": "" A""
}","[0.995704736444745, 0.00011850599594229518, 0.003918720819462196, 0, 0, 0]",-0.9970761282724895
16,text-davinci-003,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']",['Bats'],"['Bats', 'Toads']",Mice,Mice,Mammals,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Bats have property P.
Claim - Mice have property P.

Argument B:
Fact - Bats have property P.
Fact - Toads have property P.
Claim - Mice have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",False,"['Bats', 'Mice', 'Bats', 'Toads', 'Mice']","{
  ""finish_reason"": ""length"",
  ""index"": 0,
  ""logprobs"": {
    ""text_offset"": [
      814
    ],
    ""token_logprobs"": [
      -0.45976305
    ],
    ""tokens"": [
      "" E""
    ],
    ""top_logprobs"": [
      {
        "" A"": -6.165245,
        "" B"": -4.59479,
        "" D"": -2.070826,
        "" E"": -0.45976305,
        "" F"": -1.487145
      }
    ]
  },
  ""text"": "" E""
}","[0.00210120350666297, 0.010104342470112401, 0, 0.12608159528426585, 0.6314332458899342, 0.22601701385481737]",-0.6755998130490446
17,text-davinci-003,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Bats', 'Toads']",['Bats'],Mice,Mice,Mammals,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Bats have property P.
Fact - Toads have property P.
Claim - Mice have property P.

Argument B:
Fact - Bats have property P.
Claim - Mice have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",True,"['Bats', 'Mice', 'Bats', 'Toads', 'Mice']","{
  ""finish_reason"": ""length"",
  ""index"": 1,
  ""logprobs"": {
    ""text_offset"": [
      814
    ],
    ""token_logprobs"": [
      -0.00347439
    ],
    ""tokens"": [
      "" A""
    ],
    ""top_logprobs"": [
      {
        "" "": -9.323594,
        "" A"": -0.00347439,
        "" B"": -8.606981,
        "" C"": -5.8268704,
        ""A"": -8.947641
      }
    ]
  },
  ""text"": "" A""
}","[0.9965316387088864, 0.00018282502684003926, 0.0029472863893074777, 0, 0, 0]",-0.9976249077350723
18,text-davinci-003,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']",['Bats'],"['Bats', 'Chameleons']",Rhinos,Rhinos,Mammals,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Bats have property P.
Claim - Rhinos have property P.

Argument B:
Fact - Bats have property P.
Fact - Chameleons have property P.
Claim - Rhinos have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",False,"['Bats', 'Rhinos', 'Bats', 'Chameleons', 'Rhinos']","{
  ""finish_reason"": ""length"",
  ""index"": 2,
  ""logprobs"": {
    ""text_offset"": [
      823
    ],
    ""token_logprobs"": [
      -0.7415872
    ],
    ""tokens"": [
      "" E""
    ],
    ""top_logprobs"": [
      {
        "" B"": -3.034819,
        "" C"": -4.7542763,
        "" D"": -1.015223,
        "" E"": -0.7415872,
        "" F"": -2.3511071
      }
    ]
  },
  ""text"": "" E""
}","[0, 0.04808336517711019, 0.008614776951941815, 0.36232162310092314, 0.47635724097009446, 0.09526363744007844]",-0.4946476546926119
19,text-davinci-003,six_choice_multichoice,"['A', 'B', 'C', 'D', 'E', 'F']","['Bats', 'Chameleons']",['Bats'],Rhinos,Rhinos,Mammals,"We're going to show you two arguments labelled 'A' and 'B'. Each makes a claim relating to living things and the sorts of properties they have. Each claim may be true or false, and to help you decide which, each argument will provide you with additional facts about whether or not other living things have the same property.

Argument A:
Fact - Bats have property P.
Fact - Chameleons have property P.
Claim - Rhinos have property P.

Argument B:
Fact - Bats have property P.
Claim - Rhinos have property P.

Question: Given the facts presented, which argument has a more likely claim?
A - Argument A is much more likely
B - Argument A is moderately more likely
C - Argument A is slightly more likely
D - Argument B is slightly more likely
E - Argument B is moderately more likely
F - Argument B is much more likely
Answer:",True,"['Bats', 'Rhinos', 'Bats', 'Chameleons', 'Rhinos']","{
  ""finish_reason"": ""length"",
  ""index"": 3,
  ""logprobs"": {
    ""text_offset"": [
      823
    ],
    ""token_logprobs"": [
      -0.014627676
    ],
    ""tokens"": [
      "" A""
    ],
    ""top_logprobs"": [
      {
        "" A"": -0.014627676,
        "" B"": -7.382072,
        "" C"": -4.308468,
        "" Option"": -9.379206,
        ""A"": -8.775522
      }
    ]
  },
  ""text"": "" A""
}","[0.985478788709989, 0.0006223101226562675, 0.013454145564708793, 0, 0, 0]",-0.990329381427296
