,i,domain,gpt_version,spearmanr,pval
39,0,Vehicles,GPT-3,0.7457341748978379,4.53451356096179e-99
40,0,Vehicles,GPT-3 Embeddings,0.512578940347135,2.6047334584299044e-38
41,0,Vehicles,GPT-4,0.8285030367623687,1.2874831848913265e-140
42,0,Weapons,GPT-3,0.7220523133155058,8.885760401505821e-45
43,0,Weapons,GPT-3 Embeddings,0.309258913181663,2.1515161131267582e-07
44,0,Weapons,GPT-4,0.8505413240558586,9.141728914718318e-77
45,1,Birds,GPT-3,0.4576396285749483,6.325556792985812e-30
46,1,Birds,GPT-3 Embeddings,0.2632933233285138,3.31745447937735e-10
47,1,Birds,GPT-4,0.696021211974477,3.661079711226949e-81
48,1,Clothing,GPT-3,0.5446278478909885,1.307412638086044e-59
49,1,Clothing,GPT-3 Embeddings,0.3060425233180671,7.418794811179098e-18
50,1,Clothing,GPT-4,0.6617257841882892,2.122999810527135e-96
51,1,Fish,GPT-3,0.5330273264484187,1.0803260429835942e-28
52,1,Fish,GPT-3 Embeddings,-0.10340588103342775,0.04625552615333838
53,1,Fish,GPT-4,0.6994406458121883,6.241523464804334e-56
54,1,Fruit,GPT-3,0.5055713504744537,2.680058719050129e-50
55,1,Fruit,GPT-3 Embeddings,0.23951038404233727,2.5251886480790957e-11
56,1,Fruit,GPT-4,0.6602055302590765,8.170678876856061e-96
57,1,Insects,GPT-3,0.562211549303076,2.547505992444486e-47
58,1,Insects,GPT-3 Embeddings,0.3826370776169629,1.0907022221883985e-20
59,1,Insects,GPT-4,0.628800160360319,4.341493835137831e-62
60,1,KitchenUtensils,GPT-3,0.5826083920275087,5.592536786778775e-75
61,1,KitchenUtensils,GPT-3 Embeddings,0.4918269261572082,1.1086073560133257e-50
62,1,KitchenUtensils,GPT-4,0.7133896279160062,3.2260933618831654e-127
63,1,Mammals,GPT-3,0.6877207158745393,4.897161968014052e-81
64,1,Mammals,GPT-3 Embeddings,0.6229246324793053,1.443032261242583e-62
65,1,Mammals,GPT-4,0.7366845334528979,1.4213086389214327e-98
66,1,MusicalInstruments,GPT-3,0.569719264491988,4.1183605482088826e-41
67,1,MusicalInstruments,GPT-3 Embeddings,0.161285218279882,0.0005012017162666267
68,1,MusicalInstruments,GPT-4,0.6289949083445482,2.945512594868172e-52
69,1,Professions,GPT-3,0.6005604472228434,5.043023025690455e-70
70,1,Professions,GPT-3 Embeddings,0.42294201040690155,7.807124235441342e-32
71,1,Professions,GPT-4,0.6800774100811502,1.892044536400147e-96
72,1,Reptiles,GPT-3,0.4073662488714824,5.7128661957150775e-11
73,1,Reptiles,GPT-3 Embeddings,0.56794446135054,8.207107855469686e-22
74,1,Reptiles,GPT-4,0.5868899114557833,1.6246186622313e-23
75,1,Sports,GPT-3,0.5385319668466065,2.012045495323602e-46
76,1,Sports,GPT-3 Embeddings,0.26040190127316876,9.338381627597117e-11
77,1,Sports,GPT-4,0.6496847476358484,3.1322861955924533e-73
78,1,Tools,GPT-3,0.4451231454980322,7.865556940283693e-22
79,1,Tools,GPT-3 Embeddings,0.11716745883312864,0.016290472514402462
80,1,Tools,GPT-4,0.7062853574808241,1.0872438069383994e-64
81,1,Vegetables,GPT-3,0.3944182626002709,9.052954984874163e-24
82,1,Vegetables,GPT-3 Embeddings,0.18944095264989796,2.967742005427918e-06
83,1,Vegetables,GPT-4,0.5409968752885197,6.517540162155857e-47
84,1,Vehicles,GPT-3,0.7964679155095712,2.9466990374765104e-122
85,1,Vehicles,GPT-3 Embeddings,0.509782704362086,7.59118248448834e-38
86,1,Vehicles,GPT-4,0.8503163501876958,1.850445795660506e-155
87,1,Weapons,GPT-3,0.7071725541016061,3.072567820671113e-42
88,1,Weapons,GPT-3 Embeddings,0.3506258170633571,3.146636771353341e-09
89,1,Weapons,GPT-4,0.8658516952323969,1.3913558558710447e-82
90,2,Birds,GPT-3,0.5156939548043743,7.819182222883873e-39
91,2,Birds,GPT-3 Embeddings,0.21801784746066002,2.3036164974339582e-07
92,2,Birds,GPT-4,0.6821707135275352,8.210387003742191e-77
93,2,Clothing,GPT-3,0.5386810176394937,4.110597857462033e-58
94,2,Clothing,GPT-3 Embeddings,0.32207139829022224,1.0466018306280529e-19
95,2,Clothing,GPT-4,0.6605167949937211,6.204372302075793e-96
96,2,Fish,GPT-3,0.5100861660094018,4.9443409653534974e-26
97,2,Fish,GPT-3 Embeddings,-0.1756487868186877,0.0006667888714677255
98,2,Fish,GPT-4,0.7210478613173367,6.356224355951433e-61
99,2,Fruit,GPT-3,0.5347777069776126,3.8078201681234604e-57
100,2,Fruit,GPT-3 Embeddings,0.2573879300047338,6.636936927876054e-13
101,2,Fruit,GPT-4,0.6236627471316734,1.0394357037001674e-82
102,2,Insects,GPT-3,0.5352250223809191,3.0913697421619984e-42
103,2,Insects,GPT-3 Embeddings,0.2976764335068051,9.301992709256191e-13
104,2,Insects,GPT-4,0.5937084064623304,7.069637372473307e-54
105,2,KitchenUtensils,GPT-3,0.5761498019086488,5.419516872737413e-73
106,2,KitchenUtensils,GPT-3 Embeddings,0.46834403139967606,1.662701785641322e-45
107,2,KitchenUtensils,GPT-4,0.7402744031778672,8.060970002114737e-142
108,2,Mammals,GPT-3,0.7189579507331751,8.581122757296427e-92
109,2,Mammals,GPT-3 Embeddings,0.6018460897789396,1.8644071977346788e-57
110,2,Mammals,GPT-4,0.7228243884035753,3.1602364738142006e-93
111,2,MusicalInstruments,GPT-3,0.6419731373881647,4.9688909268630596e-55
112,2,MusicalInstruments,GPT-3 Embeddings,0.2780778390209493,1.1927551248937712e-09
113,2,MusicalInstruments,GPT-4,0.7604223490037497,2.838688381877623e-88
114,2,Professions,GPT-3,0.5664872058714604,7.939923770241917e-61
115,2,Professions,GPT-3 Embeddings,0.40242687216434453,1.0383740109115445e-28
116,2,Professions,GPT-4,0.6791112408964008,4.451083260761296e-96
117,2,Reptiles,GPT-3,0.4236737544005904,7.897284982941451e-12
118,2,Reptiles,GPT-3 Embeddings,0.6395652100343033,6.838337017677364e-29
119,2,Reptiles,GPT-4,0.5095695155348852,3.383695396106022e-17
120,2,Sports,GPT-3,0.5460630922458257,6.238316352182002e-48
121,2,Sports,GPT-3 Embeddings,0.3017440385873326,4.2692873148620485e-14
122,2,Sports,GPT-4,0.6677805021907076,1.0316165485479789e-78
123,2,Tools,GPT-3,0.4754131935909044,4.52203116144257e-25
124,2,Tools,GPT-3 Embeddings,0.03886869181158321,0.4269059158390027
125,2,Tools,GPT-4,0.7306498918789746,2.8086439438806314e-71
126,2,Vegetables,GPT-3,0.29936548963134324,6.882930625431745e-14
127,2,Vegetables,GPT-3 Embeddings,0.16862515987558963,3.301481500157019e-05
128,2,Vegetables,GPT-4,0.5305784027444107,7.178039216879193e-45
129,2,Vehicles,GPT-3,0.7764100423655175,2.3158982075685875e-112
130,2,Vehicles,GPT-3 Embeddings,0.5161477069656852,6.555174903986278e-39
131,2,Vehicles,GPT-4,0.838446884269978,4.154520576435266e-147
132,2,Weapons,GPT-3,0.7477157322757194,1.4349632788717961e-49
133,2,Weapons,GPT-3 Embeddings,0.33523857824966785,1.6305276580419892e-08
134,2,Weapons,GPT-4,0.8529097675697799,1.2725355922239883e-77
135,3,Birds,GPT-3,0.5166713113936807,5.346569846360795e-39
136,3,Birds,GPT-3 Embeddings,0.21906130408822774,2.0103425633183596e-07
137,3,Birds,GPT-4,0.6801173536463118,3.4585970537145707e-76
138,3,Clothing,GPT-3,0.5658590516398941,3.294119909921594e-65
139,3,Clothing,GPT-3 Embeddings,0.23354645440122773,7.981433350709159e-11
140,3,Clothing,GPT-4,0.6717501531198933,2.3984051460849316e-100
141,3,Fish,GPT-3,0.5882245636933514,5.3297510079181566e-36
142,3,Fish,GPT-3 Embeddings,-0.0663157514564845,0.20190160797391468
143,3,Fish,GPT-4,0.7512518066281975,9.461108991640941e-69
144,3,Fruit,GPT-3,0.4830138417052737,1.9079906960308757e-45
145,3,Fruit,GPT-3 Embeddings,0.23880443647489227,2.8984221061118705e-11
146,3,Fruit,GPT-4,0.6305078091759757,4.959811265361656e-85
147,3,Insects,GPT-3,0.5264230443518298,1.1251318724497026e-40
148,3,Insects,GPT-3 Embeddings,0.35767048976292254,4.214443852478469e-18
149,3,Insects,GPT-4,0.6123676966516542,4.086592269823709e-58
150,3,KitchenUtensils,GPT-3,0.5598421076103722,3.609384275570751e-68
151,3,KitchenUtensils,GPT-3 Embeddings,0.451869680757641,4.160369904358436e-42
152,3,KitchenUtensils,GPT-4,0.7684711785978954,3.1900688815658374e-159
153,3,Mammals,GPT-3,0.6929058488323766,9.998040775889636e-83
154,3,Mammals,GPT-3 Embeddings,0.6255343223264362,3.155470983283285e-63
155,3,Mammals,GPT-4,0.7471558462253143,7.637976682761924e-103
156,3,MusicalInstruments,GPT-3,0.5204212515040201,1.9996918500985022e-33
157,3,MusicalInstruments,GPT-3 Embeddings,0.25082915373494297,4.645813339848131e-08
158,3,MusicalInstruments,GPT-4,0.702028909300814,8.043639430401808e-70
159,3,Professions,GPT-3,0.5931706219863102,6.1806291218630924e-68
160,3,Professions,GPT-3 Embeddings,0.4702967482035095,6.425170200727397e-40
161,3,Professions,GPT-4,0.6762306166838739,5.5943724659741366e-95
162,3,Reptiles,GPT-3,0.4526895316532907,1.7770434804039974e-13
163,3,Reptiles,GPT-3 Embeddings,0.4689711338416199,1.7960058973103834e-14
164,3,Reptiles,GPT-4,0.474701812305634,7.783899134183917e-15
165,3,Sports,GPT-3,0.609477557187706,2.680277344822747e-62
166,3,Sports,GPT-3 Embeddings,0.21577404588712032,9.432005543337925e-08
167,3,Sports,GPT-4,0.6700109182130146,2.0459143650644295e-79
168,3,Tools,GPT-3,0.4981215490835052,1.011831420810758e-27
169,3,Tools,GPT-3 Embeddings,0.13368411444915482,0.006071954155204344
170,3,Tools,GPT-4,0.6892460891354643,1.796690985851259e-60
171,3,Vegetables,GPT-3,0.3632819193729419,3.7140793263766337e-20
172,3,Vegetables,GPT-3 Embeddings,0.15331425961129497,0.00016331572524814567
173,3,Vegetables,GPT-4,0.48533483237290337,8.839784392698003e-37
174,3,Vehicles,GPT-3,0.7715378205877966,4.111264132715608e-110
175,3,Vehicles,GPT-3 Embeddings,0.5220823775887423,6.3727656407021155e-40
176,3,Vehicles,GPT-4,0.8324316363099169,3.9474125416001825e-143
177,3,Weapons,GPT-3,0.6826890564658356,2.162400957387971e-38
178,3,Weapons,GPT-3 Embeddings,0.34348744446145224,6.825496860295144e-09
179,3,Weapons,GPT-4,0.8284975582766505,1.9112314191123391e-69
180,4,Birds,GPT-3,0.5249732851653686,2.013512548963563e-40
181,4,Birds,GPT-3 Embeddings,0.21682107171708603,2.6907933975381264e-07
182,4,Birds,GPT-4,0.6753692048497251,9.197165170639602e-75
183,4,Clothing,GPT-3,0.5323421914906696,1.504969941956866e-56
184,4,Clothing,GPT-3 Embeddings,0.3143216348273152,8.483557587070605e-19
185,4,Clothing,GPT-4,0.6440668019180809,8.335515932965026e-90
186,4,Fish,GPT-3,0.5826696735533238,3.356391566480285e-35
187,4,Fish,GPT-3 Embeddings,-0.11137198368847993,0.031751830888418715
188,4,Fish,GPT-4,0.6818530822070047,3.462900323868229e-52
189,4,Fruit,GPT-3,0.5119328039533464,9.83693179273204e-52
190,4,Fruit,GPT-3 Embeddings,0.20439855159562897,1.42210855142217e-08
191,4,Fruit,GPT-4,0.6664773137694515,2.987125121953229e-98
192,4,Insects,GPT-3,0.6192407118678876,9.505480390502181e-60
193,4,Insects,GPT-3 Embeddings,0.3105226327659712,8.36820538276155e-14
194,4,Insects,GPT-4,0.5887188661879686,8.635525608959827e-53
195,4,KitchenUtensils,GPT-3,0.5245873084880668,1.3082544377688845e-58
196,4,KitchenUtensils,GPT-3 Embeddings,0.4591785817234835,1.3625292163956356e-43
197,4,KitchenUtensils,GPT-4,0.7291887058312461,1.3818623313538833e-135
198,4,Mammals,GPT-3,0.7555404136832703,2.0381253018927023e-106
199,4,Mammals,GPT-3 Embeddings,0.598829237421492,9.358891060013768e-57
200,4,Mammals,GPT-4,0.7342465020485196,1.3109673896273648e-97
201,4,MusicalInstruments,GPT-3,0.52575503315727,3.382589502943102e-34
202,4,MusicalInstruments,GPT-3 Embeddings,0.33886899923171315,7.066683599109912e-14
203,4,MusicalInstruments,GPT-4,0.714792813856155,1.8656794386153694e-73
204,4,Professions,GPT-3,0.572956807046467,1.7213434113105599e-62
205,4,Professions,GPT-3 Embeddings,0.39046358023621264,5.4957745886331176e-27
206,4,Professions,GPT-4,0.7053478724618306,1.0546484458333537e-106
207,4,Reptiles,GPT-3,0.5968308937784731,1.8683275049039908e-24
208,4,Reptiles,GPT-3 Embeddings,0.5936272211534002,3.7819050293080334e-24
209,4,Reptiles,GPT-4,0.46151141731711265,5.2110821325152116e-14
210,4,Sports,GPT-3,0.5271738284840753,3.2210487986136424e-44
211,4,Sports,GPT-3 Embeddings,0.26859702790136725,2.249529043138791e-11
212,4,Sports,GPT-4,0.7169388267512742,9.144211033228953e-96
213,4,Tools,GPT-3,0.47958827439268475,1.5233876466476891e-25
214,4,Tools,GPT-3 Embeddings,0.19593467615437166,5.2827731625944474e-05
215,4,Tools,GPT-4,0.6074321464933472,1.0369230270437318e-43
216,4,Vegetables,GPT-3,0.360557499373895,7.374258462772575e-20
217,4,Vegetables,GPT-3 Embeddings,0.19507884568686262,1.4734371895209797e-06
218,4,Vegetables,GPT-4,0.49575710710566984,1.5441969771951756e-38
219,4,Vehicles,GPT-3,0.8278152630987347,3.4928408124451872e-140
220,4,Vehicles,GPT-3 Embeddings,0.49480325476972004,1.9814997798282612e-35
221,4,Vehicles,GPT-4,0.8116774352891816,1.556542686197247e-130
222,4,Weapons,GPT-3,0.7594890681895214,5.749638988525381e-52
223,4,Weapons,GPT-3 Embeddings,0.35912015574229855,1.2206354327583456e-09
224,4,Weapons,GPT-4,0.853142852008586,1.0461185019292578e-77
225,5,Birds,GPT-3,0.4836984535340987,1.0302480775092523e-33
226,5,Birds,GPT-3 Embeddings,0.21010196178995422,6.332572952419796e-07
227,5,Birds,GPT-4,0.7189464921665741,6.141277097150457e-89
228,5,Clothing,GPT-3,0.5445153763668015,1.3964114995128208e-59
229,5,Clothing,GPT-3 Embeddings,0.2652070949555076,1.2341150620046803e-13
230,5,Clothing,GPT-4,0.5785869901832447,9.156559091107213e-69
231,5,Fish,GPT-3,0.5603153406040625,3.9086906372381297e-32
232,5,Fish,GPT-3 Embeddings,-0.10158144223206411,0.05026464138698592
233,5,Fish,GPT-4,0.6885964642259433,1.3659585072239393e-53
234,5,Fruit,GPT-3,0.5120311282306844,9.341934164979681e-52
235,5,Fruit,GPT-3 Embeddings,0.2145873297418103,2.52274183833513e-09
236,5,Fruit,GPT-4,0.6909766944683566,2.2782383149781735e-108
237,5,Insects,GPT-3,0.599821310481768,3.1020240939159816e-55
238,5,Insects,GPT-3 Embeddings,0.28748080582039387,5.78608505936745e-12
239,5,Insects,GPT-4,0.6593169712384354,3.876233081710461e-70
240,5,KitchenUtensils,GPT-3,0.5883041047270028,9.090463029302172e-77
241,5,KitchenUtensils,GPT-3 Embeddings,0.5002857958815782,1.2009167005928165e-52
242,5,KitchenUtensils,GPT-4,0.7185996281815321,6.498694594771177e-130
243,5,Mammals,GPT-3,0.6892360588394971,1.5838811568267414e-81
244,5,Mammals,GPT-3 Embeddings,0.6240928164670292,7.32009953650126e-63
245,5,Mammals,GPT-4,0.6790386369477522,2.764475994391278e-78
246,5,MusicalInstruments,GPT-3,0.5454078734465632,3.6674830783299454e-37
247,5,MusicalInstruments,GPT-3 Embeddings,0.1537472162602516,0.000914950472980313
248,5,MusicalInstruments,GPT-4,0.686604273356345,1.1143259468415947e-65
249,5,Professions,GPT-3,0.562270747222504,9.217591836856827e-60
250,5,Professions,GPT-3 Embeddings,0.43578646424303424,6.668628374520987e-34
251,5,Professions,GPT-4,0.6728570155246454,1.045490736375949e-93
252,5,Reptiles,GPT-3,0.4740603713367553,8.554180447943028e-15
253,5,Reptiles,GPT-3 Embeddings,0.5635897776401049,1.9517586353127386e-21
254,5,Reptiles,GPT-4,0.5582090056390522,5.594081461008854e-21
255,5,Sports,GPT-3,0.5255610664279516,6.520390609836314e-44
256,5,Sports,GPT-3 Embeddings,0.30711508941869425,1.4286255724896624e-14
257,5,Sports,GPT-4,0.7161135689713117,1.8934264959330437e-95
258,5,Tools,GPT-3,0.43278815918909036,1.334258358237966e-20
259,5,Tools,GPT-3 Embeddings,0.17347040595031765,0.00035480084661591654
260,5,Tools,GPT-4,0.666775570939634,2.455543233870795e-55
261,5,Vegetables,GPT-3,0.406307738520257,2.963811654945825e-25
262,5,Vegetables,GPT-3 Embeddings,0.20466663843357893,4.2712157113367917e-07
263,5,Vegetables,GPT-4,0.47394057507663057,6.311600820997201e-35
264,5,Vehicles,GPT-3,0.7950185426092559,1.6641561855969555e-121
265,5,Vehicles,GPT-3 Embeddings,0.47220914457168944,5.288767635796666e-32
266,5,Vehicles,GPT-4,0.8291571277065112,4.96288327836852e-141
267,5,Weapons,GPT-3,0.7293473454545466,4.391320332316616e-46
268,5,Weapons,GPT-3 Embeddings,0.3628419836939317,7.989756202823766e-10
269,5,Weapons,GPT-4,0.8847380789377459,7.757943569650723e-91
270,6,Birds,GPT-3,0.4426000777280496,6.972895867165661e-28
271,6,Birds,GPT-3 Embeddings,0.2723746578360431,7.600695512435555e-11
272,6,Birds,GPT-4,0.7337469177203708,2.20007861734331e-94
273,6,Clothing,GPT-3,0.5611574483455619,6.202752303504121e-64
274,6,Clothing,GPT-3 Embeddings,0.30543148450321256,8.682823143516883e-18
275,6,Clothing,GPT-4,0.5844523645095534,1.8610662685638583e-70
276,6,Fish,GPT-3,0.5795543300809679,9.276768317297099e-35
277,6,Fish,GPT-3 Embeddings,-0.0777348865731742,0.1345193219991891
278,6,Fish,GPT-4,0.6738303266940402,1.4497046685616808e-50
279,6,Fruit,GPT-3,0.5005352460175534,3.4923583290915316e-49
280,6,Fruit,GPT-3 Embeddings,0.2188822800708562,1.185362617466011e-09
281,6,Fruit,GPT-4,0.6261290372144602,1.538479314198942e-83
282,6,Insects,GPT-3,0.5609987148590618,4.412609842205646e-47
283,6,Insects,GPT-3 Embeddings,0.40296046351006903,5.763346995685182e-23
284,6,Insects,GPT-4,0.595760926936953,2.4931758285834646e-54
285,6,KitchenUtensils,GPT-3,0.566391996950866,4.4916712990670455e-70
286,6,KitchenUtensils,GPT-3 Embeddings,0.45460546049319595,1.1683662231184426e-42
287,6,KitchenUtensils,GPT-4,0.755611770031354,5.431446890631385e-151
288,6,Mammals,GPT-3,0.6897056254629926,1.1148118901861708e-81
289,6,Mammals,GPT-3 Embeddings,0.6300155526083294,2.2419965466337982e-64
290,6,Mammals,GPT-4,0.7163607110472878,7.642046667243911e-91
291,6,MusicalInstruments,GPT-3,0.5160409979184308,8.405770838468548e-33
292,6,MusicalInstruments,GPT-3 Embeddings,0.16938238097624142,0.000254852359305902
293,6,MusicalInstruments,GPT-4,0.6753749880982248,8.003644648998443e-63
294,6,Professions,GPT-3,0.5547649444963217,6.647804530155639e-58
295,6,Professions,GPT-3 Embeddings,0.4516840131355486,1.3742666020354255e-36
296,6,Professions,GPT-4,0.6409599716778258,1.8022796589477028e-82
297,6,Reptiles,GPT-3,0.4918918596435376,5.759681744997506e-16
298,6,Reptiles,GPT-3 Embeddings,0.5380784261606933,2.438924334945364e-19
299,6,Reptiles,GPT-4,0.537067551151029,2.9285914641575383e-19
300,6,Sports,GPT-3,0.5522602875519533,3.3472538779426694e-49
301,6,Sports,GPT-3 Embeddings,0.1904280069633321,2.629245668775223e-06
302,6,Sports,GPT-4,0.6719266732309997,5.040429693625525e-80
303,6,Tools,GPT-3,0.45788623956974706,3.712446705805347e-23
304,6,Tools,GPT-3 Embeddings,0.19501477816347246,5.736473699576138e-05
305,6,Tools,GPT-4,0.7029227262549583,7.808826500814379e-64
306,6,Vegetables,GPT-3,0.3736655339670915,2.559056077557695e-21
307,6,Vegetables,GPT-3 Embeddings,0.1918396085610192,2.2087154192151695e-06
308,6,Vegetables,GPT-4,0.48229344966490356,2.8059336699094225e-36
309,6,Vehicles,GPT-3,0.7689821970563588,5.90953943010877e-109
310,6,Vehicles,GPT-3 Embeddings,0.4869843101767809,3.248893975424217e-34
311,6,Vehicles,GPT-4,0.847334357845134,2.7044098218867967e-153
312,6,Weapons,GPT-3,0.804664153514889,1.2672991908965046e-62
313,6,Weapons,GPT-3 Embeddings,0.38258902172960374,7.685094718377264e-11
314,6,Weapons,GPT-4,0.8670725369338642,4.4550674063961265e-83
315,7,Birds,GPT-3,0.4802443974583061,3.419631436699995e-33
316,7,Birds,GPT-3 Embeddings,0.31373607485939764,4.4964807468424063e-14
317,7,Birds,GPT-4,0.6973586442377775,1.3498882400993213e-81
318,7,Clothing,GPT-3,0.5449515595309259,1.0815199207166032e-59
319,7,Clothing,GPT-3 Embeddings,0.28687201649219013,8.673717946994941e-16
320,7,Clothing,GPT-4,0.6647463493763593,1.424853156964713e-97
321,7,Fish,GPT-3,0.5763573700094619,2.6036941944315485e-34
322,7,Fish,GPT-3 Embeddings,-0.18216819165997222,0.0004135217192567121
323,7,Fish,GPT-4,0.701313827393986,2.400778225934276e-56
324,7,Fruit,GPT-3,0.45633476798706774,3.725175355469975e-40
325,7,Fruit,GPT-3 Embeddings,0.19794084434201056,4.068423645800287e-08
326,7,Fruit,GPT-4,0.6317214540738951,1.8957679541033443e-85
327,7,Insects,GPT-3,0.540315038508791,3.6832883291925805e-43
328,7,Insects,GPT-3 Embeddings,0.33470050120083045,6.473775941167672e-16
329,7,Insects,GPT-4,0.6373967420442153,2.897715386029348e-64
330,7,KitchenUtensils,GPT-3,0.5491967234077475,3.6688293512091e-65
331,7,KitchenUtensils,GPT-3 Embeddings,0.476222354626592,3.3801598955825206e-47
332,7,KitchenUtensils,GPT-4,0.7424902557713788,4.186671595995738e-143
333,7,Mammals,GPT-3,0.70538932737069,6.02327276263295e-87
334,7,Mammals,GPT-3 Embeddings,0.6114495762159445,9.762337892083787e-60
335,7,Mammals,GPT-4,0.7107345295520356,8.020871321381552e-89
336,7,MusicalInstruments,GPT-3,0.5695049810620139,4.4769421966159615e-41
337,7,MusicalInstruments,GPT-3 Embeddings,0.21713785020156723,2.4664997596327917e-06
338,7,MusicalInstruments,GPT-4,0.7033373827945135,3.481863946515408e-70
339,7,Professions,GPT-3,0.6047010013500571,3.2253125494357493e-71
340,7,Professions,GPT-3 Embeddings,0.3117338918524667,2.7582020768578345e-17
341,7,Professions,GPT-4,0.6841985195157921,4.741969356644331e-98
342,7,Reptiles,GPT-3,0.5661831632702691,1.1668944765836797e-21
343,7,Reptiles,GPT-3 Embeddings,0.6505521795391256,3.786667159129718e-30
344,7,Reptiles,GPT-4,0.5400973698937405,1.6892616629662084e-19
345,7,Sports,GPT-3,0.5668471796812169,2.6735878288226905e-52
346,7,Sports,GPT-3 Embeddings,0.18258660420787137,6.763330246091211e-06
347,7,Sports,GPT-4,0.672706774758788,2.8405566982612025e-80
348,7,Tools,GPT-3,0.40122809618885097,1.1231841984340524e-17
349,7,Tools,GPT-3 Embeddings,0.1665557304240587,0.0006099024666013677
350,7,Tools,GPT-4,0.6651611322765388,5.519845685919198e-55
351,7,Vegetables,GPT-3,0.35531604314453347,2.70872640837705e-19
352,7,Vegetables,GPT-3 Embeddings,0.1725107834213037,2.1499948507355312e-05
353,7,Vegetables,GPT-4,0.49547884383373586,1.7235465849232082e-38
354,7,Vehicles,GPT-3,0.7843876713673249,3.6000708572691033e-116
355,7,Vehicles,GPT-3 Embeddings,0.47381378938281954,3.0785659083953674e-32
356,7,Vehicles,GPT-4,0.8489854664087026,1.7346971509428103e-154
357,7,Weapons,GPT-3,0.7015843258102133,2.513090228998916e-41
358,7,Weapons,GPT-3 Embeddings,0.296233082106965,7.169215474303932e-07
359,7,Weapons,GPT-4,0.8673902594581037,3.30623795541727e-83
360,8,Birds,GPT-3,0.4846709398554108,7.33111194032188e-34
361,8,Birds,GPT-3 Embeddings,0.14951502732744484,0.0004240009849988705
362,8,Birds,GPT-4,0.59937484290507,3.906627768608958e-55
363,8,Clothing,GPT-3,0.4861798177335676,4.180096312160342e-46
364,8,Clothing,GPT-3 Embeddings,0.2944731370467729,1.3705606548104005e-16
365,8,Clothing,GPT-4,0.6248254124751285,4.232366364640413e-83
366,8,Fish,GPT-3,0.5381811965719304,2.555257719064028e-29
367,8,Fish,GPT-3 Embeddings,-0.061161602340153554,0.23928563336991104
368,8,Fish,GPT-4,0.6948977102375323,6.142441948543202e-55
369,8,Fruit,GPT-3,0.569450817965528,3.387941266730474e-66
370,8,Fruit,GPT-3 Embeddings,0.2414188007743871,1.7357801710176538e-11
